Time,enmoTrunc,xMean,yMean,zMean,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2017-03-22 09:45:00.000,0.000000,0.022272,0.032724,-0.965955,0.012616,0.012000,0.971000,0.002226,0.001588,0.001773,0.00,1000,0,0,0,800
2017-03-22 09:45:10.000,0.000000,0.021833,0.032500,-0.966074,0.011001,0.009924,0.971000,0.002099,0.001532,0.001782,0.00,1000,0,0,0,800
2017-03-22 09:45:20.000,0.000000,0.021680,0.032336,-0.966346,0.009251,0.014500,0.971000,0.002165,0.001631,0.001725,0.00,1000,0,0,0,800
2017-03-22 09:45:30.000,0.000000,0.020828,0.032001,-0.967083,0.012250,0.012500,0.971000,0.001792,0.001606,0.001757,0.00,1000,0,0,0,800
2017-03-22 09:45:40.000,0.000000,0.020932,0.032101,-0.966854,0.011001,0.014001,0.977000,0.001938,0.001631,0.001871,0.00,1000,0,0,0,800
2017-03-22 09:45:50.000,0.000000,0.020911,0.032434,-0.966876,0.013500,0.015001,0.977000,0.001894,0.001721,0.001715,0.00,1000,0,0,0,800
2017-03-22 09:46:00.000,0.000000,0.020844,0.032343,-0.967345,0.012667,0.013501,0.977000,0.001971,0.001546,0.001766,0.00,1000,0,0,0,800
2017-03-22 09:46:10.000,0.000000,0.020650,0.032168,-0.967459,0.011000,0.015001,0.977000,0.001809,0.001635,0.001820,0.00,1000,0,0,0,800
2017-03-22 09:47:20.000,0.000000,0.042414,0.399513,-0.894081,0.144334,0.141000,0.915000,0.007442,0.007702,0.003739,0.00,1000,0,0,0,800
2017-03-22 09:47:30.000,0.000000,0.044209,0.397067,-0.895181,0.027000,0.013750,0.900000,0.003314,0.002267,0.001795,0.00,1000,0,0,0,800
2017-03-22 09:48:50.000,0.000000,0.273735,-0.005858,-0.935127,0.012001,0.013251,0.941000,0.002684,0.002262,0.001912,0.00,1000,0,0,0,800
