Time,enmoTrunc,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2017-03-22 09:45:00.000,0.000000,0.012547,0.012260,0.999911,0.002209,0.001739,0.002509,0.00,500,0,0,0,400
2017-03-22 09:45:05.000,0.000000,0.009891,0.006257,0.999833,0.002212,0.001402,0.002447,0.00,500,0,0,0,400
2017-03-22 09:45:10.000,0.000000,0.010685,0.010509,0.999756,0.002034,0.001529,0.002464,0.00,500,0,0,0,400
2017-03-22 09:45:15.000,0.000000,0.010993,0.008745,0.999756,0.002101,0.001546,0.002503,0.00,500,0,0,0,400
2017-03-22 09:45:20.000,0.000000,0.009524,0.013656,0.999756,0.002132,0.001660,0.002471,0.00,500,0,0,0,400
2017-03-22 09:45:25.000,0.000000,0.008173,0.012356,0.999756,0.002144,0.001569,0.002420,0.00,500,0,0,0,400
2017-03-22 09:45:30.000,0.000001,0.009700,0.012395,0.999916,0.001707,0.001679,0.002486,0.00,500,0,0,0,400
2017-03-22 09:45:35.000,0.000002,0.010326,0.008314,0.999839,0.001838,0.001522,0.002451,0.00,500,0,0,0,400
2017-03-22 09:45:40.000,0.000011,0.010946,0.013169,1.005749,0.002004,0.001748,0.002609,0.00,500,0,0,0,400
2017-03-22 09:45:45.000,0.000004,0.008187,0.011671,1.003143,0.001790,0.001517,0.002496,0.00,500,0,0,0,400
2017-03-22 09:45:50.000,0.000000,0.013067,0.015029,0.999880,0.002007,0.001863,0.002452,0.00,500,0,0,0,400
2017-03-22 09:45:55.000,0.000007,0.009609,0.012067,1.005749,0.001756,0.001574,0.002433,0.00,500,0,0,0,400
2017-03-22 09:46:00.000,0.000011,0.011087,0.013538,1.003763,0.001899,0.001624,0.002471,0.00,500,0,0,0,400
2017-03-22 09:46:05.000,0.000020,0.012693,0.010545,1.005749,0.001985,0.001452,0.002489,0.00,500,0,0,0,400
2017-03-22 09:46:10.000,0.000025,0.011106,0.013942,1.005749,0.001771,0.001620,0.002474,0.00,500,0,0,0,400
2017-03-22 09:46:15.000,0.000031,0.010476,0.013628,1.004899,0.001818,0.001658,0.002565,0.00,500,0,0,0,400
2017-03-22 09:46:20.000,0.000003,0.009981,0.011236,0.999910,0.001959,0.001570,0.002443,0.00,500,0,0,0,400
2017-03-22 09:46:25.000,0.039007,1.665290,1.410551,1.447616,0.374885,0.254352,0.198731,0.00,500,0,0,0,400
2017-03-22 09:46:30.000,0.065795,2.110138,1.440132,2.111590,0.321320,0.255991,0.260998,0.00,500,0,0,0,400
2017-03-22 09:46:35.000,0.028616,1.172451,1.251342,1.142586,0.210541,0.219850,0.163934,0.00,500,0,0,0,400
2017-03-22 09:46:40.000,0.056829,1.624211,2.138627,3.400795,0.364503,0.409273,0.644505,0.00,500,0,1,0,400
2017-03-22 09:46:45.000,0.092185,2.465251,2.416431,2.720064,0.363163,0.531795,0.369043,0.00,500,0,0,0,400
2017-03-22 09:46:50.000,0.068028,2.174813,2.196035,2.373840,0.498980,0.377780,0.432724,0.00,500,0,0,0,400
2017-03-22 09:46:55.000,0.020135,1.659739,1.063014,1.870716,0.153377,0.078343,0.125611,0.00,500,0,0,0,400
2017-03-22 09:47:00.000,0.001006,0.354761,0.270853,1.016736,0.026137,0.034519,0.010010,0.00,500,0,0,0,400
2017-03-22 09:47:05.000,0.000863,0.045867,0.035357,0.983459,0.003705,0.004557,0.002756,0.00,500,0,0,0,400
2017-03-22 09:47:10.000,0.001381,0.313799,0.408430,1.021877,0.025820,0.078003,0.010669,0.00,500,0,0,0,400
2017-03-22 09:47:15.000,0.001061,0.083892,0.172163,1.002909,0.005785,0.022911,0.008174,0.00,500,0,0,0,400
