Time,enmoTrunc,xMean,yMean,zMean,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2017-03-22 09:45:00.000,0.000000,0.022277,0.032723,-0.965952,0.012658,0.012236,0.971156,0.002231,0.001592,0.001774,0.00,1000,0,0,0,800
2017-03-22 09:45:10.000,0.000000,0.021830,0.032500,-0.966073,0.011143,0.010513,0.971000,0.002095,0.001535,0.001778,0.00,1000,0,0,0,800
2017-03-22 09:45:20.000,0.000000,0.021682,0.032339,-0.966344,0.009621,0.014311,0.971000,0.002170,0.001628,0.001723,0.00,1000,0,0,0,800
2017-03-22 09:45:30.000,0.000000,0.020828,0.032000,-0.967084,0.012005,0.012372,0.971161,0.001789,0.001603,0.001762,0.00,1000,0,0,0,800
2017-03-22 09:45:40.000,0.000000,0.020927,0.032102,-0.966853,0.011042,0.013632,0.977000,0.001939,0.001635,0.001872,0.00,1000,0,0,0,800
2017-03-22 09:45:50.000,0.000000,0.020911,0.032431,-0.966874,0.013183,0.015001,0.977000,0.001902,0.001723,0.001715,0.00,1000,0,0,0,800
2017-03-22 09:46:00.000,0.000000,0.020844,0.032344,-0.967344,0.012805,0.013525,0.977000,0.001968,0.001547,0.001768,0.00,1000,0,0,0,800
2017-03-22 09:46:10.000,0.000000,0.020651,0.032168,-0.967457,0.011204,0.015001,0.977000,0.001811,0.001640,0.001824,0.00,1000,0,0,0,800
2017-03-22 09:47:20.000,0.000000,0.042407,0.399510,-0.894078,0.142702,0.141000,0.915000,0.007467,0.007697,0.003743,0.00,1000,0,0,0,800
2017-03-22 09:47:30.000,0.000000,0.044211,0.397067,-0.895184,0.027239,0.013920,0.900088,0.003320,0.002267,0.001797,0.00,1000,0,0,0,800
2017-03-22 09:48:50.000,0.000000,0.273734,-0.005859,-0.935127,0.012223,0.013319,0.941000,0.002682,0.002265,0.001914,0.00,1000,0,0,0,800
2017-03-22 09:49:00.000,0.000000,0.273656,-0.004495,-0.935223,0.012127,0.012000,0.941000,0.002596,0.001579,0.001920,0.00,1000,0,0,0,800
2017-03-22 09:49:10.000,0.000000,0.274141,-0.003836,-0.935135,0.012375,0.012854,0.941000,0.002564,0.001668,0.001930,0.00,1000,0,0,0,800
2017-03-22 09:49:20.000,0.000000,0.274285,-0.003097,-0.934912,0.012133,0.013707,0.941000,0.002604,0.001574,0.001995,0.00,1000,0,0,0,800
2017-03-22 09:49:30.000,0.000000,0.274144,-0.002951,-0.935181,0.036370,0.025762,0.953000,0.002923,0.001905,0.002744,0.00,1000,0,0,0,800
2017-03-22 09:49:40.000,0.000000,0.274366,-0.002601,-0.935287,0.012092,0.008416,0.941000,0.002634,0.001476,0.001833,0.00,1000,0,0,0,800
2017-03-22 09:49:50.000,0.000000,0.274349,-0.002060,-0.935176,0.012071,0.009181,0.940581,0.002528,0.001548,0.001857,0.00,1000,0,0,0,800
2017-03-22 09:50:00.000,0.000000,0.274461,-0.002016,-0.935537,0.013270,0.008432,0.941100,0.002526,0.001551,0.001831,0.00,1000,0,0,0,800
2017-03-22 09:50:10.000,0.000000,0.274222,-0.001834,-0.935582,0.012062,0.009072,0.941078,0.002564,0.001567,0.001830,0.00,1000,0,0,0,800
2017-03-22 09:50:20.000,0.000000,0.274554,-0.001648,-0.935233,0.009990,0.009079,0.941000,0.002507,0.001516,0.001912,0.00,1000,0,0,0,800
2017-03-22 09:50:30.000,0.000000,0.274369,-0.001396,-0.935062,0.010781,0.008598,0.941000,0.002486,0.001521,0.001874,0.00,1000,0,0,0,800
2017-03-22 09:50:40.000,0.000000,0.274269,-0.001490,-0.935269,0.011669,0.009046,0.944906,0.002540,0.001516,0.001846,0.00,1000,0,0,0,800
2017-03-22 09:50:50.000,0.000000,0.274237,-0.001232,-0.935268,0.012111,0.009028,0.941000,0.002592,0.001535,0.001840,0.00,1000,0,0,0,800
2017-03-22 09:51:00.000,0.000000,0.274080,-0.001017,-0.935131,0.012066,0.009126,0.941000,0.002546,0.001521,0.001837,0.00,1000,0,0,0,800
2017-03-22 09:51:10.000,0.000000,0.274161,-0.001116,-0.935186,0.012111,0.009025,0.941000,0.002594,0.001491,0.002011,0.00,1000,0,0,0,800
2017-03-22 09:51:20.000,0.000000,0.273948,-0.000960,-0.935684,0.014013,0.009032,0.941046,0.002635,0.001504,0.001838,0.00,1000,0,0,0,800
2017-03-22 09:51:30.000,0.000000,0.274160,-0.000792,-0.935529,0.011858,0.009093,0.941000,0.002599,0.001583,0.001867,0.00,1000,0,0,0,800
2017-03-22 09:51:40.000,0.000000,0.274370,-0.000490,-0.935682,0.012343,0.009098,0.941000,0.002552,0.001524,0.001834,0.00,1000,0,0,0,800
2017-03-22 09:51:50.000,0.000000,0.274223,-0.000594,-0.935625,0.013888,0.009084,0.941112,0.002508,0.001525,0.001875,0.00,1000,0,0,0,800
2017-03-22 09:52:00.000,0.000000,0.274235,-0.000311,-0.935322,0.015000,0.012000,0.941000,0.002614,0.001551,0.001886,0.00,1000,0,0,0,800
2017-03-22 09:52:10.000,0.000000,0.274075,-0.000556,-0.935379,0.013229,0.009114,0.941000,0.002498,0.001515,0.001921,0.00,1000,0,0,0,800
2017-03-22 09:52:20.000,0.000000,0.274321,-0.000114,-0.935346,0.012057,0.008060,0.941000,0.002611,0.001456,0.001901,0.00,1000,0,0,0,800
2017-03-22 09:52:30.000,0.000000,0.274475,-0.000101,-0.935245,0.011910,0.010490,0.941000,0.002508,0.001520,0.001847,0.00,1000,0,0,0,800
2017-03-22 09:52:40.000,0.000000,0.274315,-0.000229,-0.935550,0.014075,0.008433,0.941000,0.002590,0.001529,0.001852,0.00,1000,0,0,0,800
2017-03-22 09:52:50.000,0.000000,0.274042,-0.000343,-0.935434,0.012083,0.009096,0.941000,0.002606,0.001477,0.001854,0.00,1000,0,0,0,800
2017-03-22 09:53:00.000,0.000000,0.274120,-0.000236,-0.935560,0.011453,0.009630,0.941097,0.002544,0.001498,0.001751,0.00,1000,0,0,0,800
2017-03-22 09:53:10.000,0.000000,0.274166,-0.000191,-0.935646,0.011374,0.008456,0.941062,0.002517,0.001528,0.001847,0.00,1000,0,0,0,800
2017-03-22 09:53:20.000,0.000000,0.273743,-0.000449,-0.935787,0.012066,0.012080,0.941000,0.002655,0.001500,0.001804,0.00,1000,0,0,0,800
2017-03-22 09:53:30.000,0.000000,0.274034,-0.000090,-0.935705,0.012238,0.012000,0.941036,0.002599,0.001624,0.001819,0.00,1000,0,0,0,800
2017-03-22 09:53:40.000,0.000000,0.273751,0.000151,-0.935593,0.012100,0.011357,0.941000,0.002690,0.001478,0.001809,0.00,1000,0,0,0,800
2017-03-22 09:53:50.000,0.000000,0.274095,0.000173,-0.935555,0.011602,0.009147,0.941000,0.002591,0.001430,0.001896,0.00,1000,0,0,0,800
2017-03-22 09:54:00.000,0.000000,0.274070,0.000062,-0.935629,0.012219,0.007740,0.941000,0.002586,0.001513,0.001802,0.00,1000,0,0,0,800
2017-03-22 09:54:10.000,0.000000,0.273916,0.000220,-0.935679,0.012214,0.007990,0.941042,0.002636,0.001522,0.001906,0.00,1000,0,0,0,800
2017-03-22 09:54:20.000,0.000000,0.273788,0.000338,-0.935428,0.012147,0.012000,0.941000,0.002696,0.001556,0.001847,0.00,1000,0,0,0,800
2017-03-22 09:54:50.000,0.000000,0.268526,0.001204,-0.936820,0.012078,0.010925,0.941120,0.001852,0.001577,0.001764,0.00,1000,0,0,0,800
2017-03-22 09:55:00.000,0.000000,0.268451,0.001265,-0.936809,0.012172,0.009045,0.943379,0.001729,0.001546,0.001713,0.00,1000,0,0,0,800
2017-03-22 09:55:10.000,0.000000,0.268398,0.001590,-0.936838,0.012123,0.009160,0.947000,0.001654,0.001529,0.001757,0.00,1000,0,0,0,800
2017-03-22 09:55:30.000,0.000000,0.269150,0.011063,-0.936328,0.012207,0.012129,0.941150,0.001826,0.002556,0.001744,0.00,1000,0,0,0,800
2017-03-22 09:55:40.000,0.000000,0.269632,0.009588,-0.936482,0.014162,0.012243,0.941101,0.002080,0.002641,0.001708,0.00,1000,0,0,0,800
2017-03-22 09:55:50.000,0.000000,0.269739,0.009150,-0.936371,0.012438,0.012000,0.947000,0.002123,0.002822,0.001763,0.00,1000,0,0,0,800
2017-03-22 09:56:00.000,0.000000,0.270012,0.008708,-0.936289,0.010894,0.012226,0.941142,0.002220,0.002701,0.001723,0.00,1000,0,0,0,800
2017-03-22 09:56:10.000,0.000000,0.270211,0.008042,-0.936417,0.012284,0.012201,0.941095,0.002257,0.002641,0.001733,0.00,1000,0,0,0,800
