Time,enmoTrunc,xMean,yMean,zMean,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2017-03-22 09:45:00.000,0.000000,0.044771,0.038103,-0.973797,0.015142,0.012000,0.979000,0.001525,0.002737,0.002019,0.00,1000,0,0,0,800
2017-03-22 09:45:10.000,0.000000,0.044560,0.037513,-0.974227,0.015000,0.012232,0.979000,0.001522,0.002743,0.001948,0.00,1000,0,0,0,800
2017-03-22 09:45:20.000,0.000000,0.044147,0.036644,-0.974578,0.012077,0.012237,0.979000,0.001462,0.002603,0.001895,0.00,1000,0,0,0,800
2017-03-22 09:45:30.000,0.000000,0.044269,0.036803,-0.974437,0.007782,0.012228,0.979000,0.001424,0.002671,0.001782,0.00,1000,0,0,0,800
2017-03-22 09:45:40.000,0.000000,0.044057,0.036136,-0.974685,0.009149,0.011096,0.979029,0.001407,0.002438,0.001883,0.00,1000,0,0,0,800
2017-03-22 09:45:50.000,0.000000,0.044025,0.036068,-0.974708,0.012775,0.015061,0.979000,0.001556,0.002517,0.001841,0.00,1000,0,0,0,800
2017-03-22 09:46:00.000,0.000000,0.043857,0.035885,-0.974727,0.012095,0.009441,0.979000,0.001474,0.002363,0.001833,0.00,1000,0,0,0,800
2017-03-22 09:46:10.000,0.000000,0.043917,0.035873,-0.974861,0.014038,0.013636,0.979111,0.001428,0.002391,0.001742,0.00,1000,0,0,0,800
2017-03-22 09:46:20.000,0.000000,0.043880,0.035367,-0.974922,0.006343,0.011102,0.979000,0.001450,0.002241,0.001756,0.00,1000,0,0,0,800
2017-03-22 09:46:30.000,0.000000,0.043795,0.035514,-0.974976,0.012773,0.014195,0.979000,0.001405,0.002343,0.001712,0.00,1000,0,0,0,800
2017-03-22 09:46:40.000,0.000000,0.043665,0.035250,-0.974868,0.011342,0.011451,0.979000,0.001446,0.002181,0.001782,0.00,1000,0,0,0,800
2017-03-22 09:46:50.000,0.000000,0.043585,0.034967,-0.975005,0.015000,0.013623,0.979048,0.001379,0.002149,0.001713,0.00,1000,0,0,0,800
2017-03-22 09:47:00.000,0.000000,0.043467,0.034904,-0.975017,0.009161,0.012294,0.979070,0.001447,0.002025,0.001772,0.00,1000,0,0,0,800
2017-03-22 09:47:10.000,0.000000,0.043577,0.034951,-0.975003,0.011374,0.013612,0.979017,0.001428,0.002133,0.001700,0.00,1000,0,0,0,800
2017-03-22 09:47:20.000,0.000000,0.043614,0.034646,-0.975049,0.012440,0.014238,0.979050,0.001462,0.001976,0.001688,0.00,1000,0,0,0,800
2017-03-22 09:47:30.000,0.000000,0.043492,0.034526,-0.975165,0.009075,0.012074,0.979027,0.001431,0.001931,0.001663,0.00,1000,0,0,0,800
2017-03-22 09:47:40.000,0.000000,0.043400,0.034437,-0.975142,0.011125,0.011336,0.979123,0.001435,0.001949,0.001701,0.00,1000,0,0,0,800
2017-03-22 09:47:50.000,0.000000,0.043274,0.034379,-0.975226,0.009184,0.012224,0.979145,0.001438,0.001988,0.001716,0.00,1000,0,0,0,800
2017-03-22 09:48:00.000,0.000000,0.043166,0.033986,-0.975299,0.009042,0.012000,0.979041,0.001448,0.001618,0.001719,0.00,1000,0,0,0,800
2017-03-22 09:48:10.000,0.000000,0.043064,0.033898,-0.975470,0.008596,0.012299,0.981172,0.001482,0.001775,0.001635,0.00,1000,0,0,0,800
2017-03-22 09:48:20.000,0.000000,0.042892,0.033771,-0.975189,0.022897,0.040015,1.094623,0.001684,0.002443,0.008872,0.00,1000,0,0,0,800
2017-03-22 09:48:30.000,0.000000,0.042841,0.033602,-0.975396,0.009081,0.012000,0.979083,0.001433,0.001789,0.001602,0.00,1000,0,0,0,800
2017-03-22 09:48:40.000,0.000000,0.042876,0.033474,-0.975329,0.029374,0.048233,1.021391,0.001666,0.002554,0.004209,0.00,1000,0,0,0,800
2017-03-22 09:48:50.000,0.000000,0.042984,0.033425,-0.975531,0.009100,0.012076,0.979129,0.001454,0.001686,0.001646,0.00,1000,0,0,0,800
2017-03-22 09:49:00.000,0.000000,0.043011,0.033117,-0.975554,0.013520,0.012000,0.981163,0.001452,0.001589,0.001619,0.00,1000,0,0,0,800
2017-03-22 09:49:10.000,0.000000,0.042785,0.033098,-0.975693,0.009070,0.012095,0.979124,0.001460,0.001666,0.001631,0.00,1000,0,0,0,800
