Time,enmoTrunc,xMean,yMean,zMean,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2017-03-22 09:46:30.000,0.000000,0.033168,-0.029790,0.966889,0.023000,0.039000,0.011334,0.003332,0.002482,0.002494,0.00,1000,0,0,0,800
2017-03-22 09:46:40.000,0.000000,0.033887,-0.029550,0.966957,0.022334,0.039000,0.010667,0.003312,0.002476,0.002548,0.00,1000,0,0,0,800
2017-03-22 09:47:20.000,0.000000,0.032927,-0.026124,0.966527,0.031308,0.045667,0.015334,0.004795,0.003638,0.002425,0.00,1000,0,0,0,800
2017-03-22 09:47:30.000,0.000000,0.034300,-0.026197,0.966872,0.024000,0.035000,0.016001,0.004161,0.002647,0.002714,0.00,1000,0,0,0,800
2017-03-22 09:48:50.000,0.000000,0.063576,-0.006228,0.965566,0.019001,0.018334,0.012001,0.002738,0.002914,0.002244,0.00,1000,0,0,0,800
2017-03-22 09:49:00.000,0.000000,0.064062,-0.005386,0.965827,0.021667,0.018667,0.016001,0.002739,0.003113,0.002299,0.00,1000,0,0,0,800
2017-03-22 09:49:10.000,0.000000,0.064671,-0.004939,0.965806,0.027000,0.019385,0.016001,0.002886,0.002923,0.002327,0.00,1000,0,0,0,800
2017-03-22 09:49:20.000,0.000000,0.064576,-0.004593,0.965361,0.023000,0.020000,0.012001,0.002684,0.003068,0.002205,0.00,1000,0,0,0,800
2017-03-22 09:49:30.000,0.000000,0.064816,-0.004246,0.965405,0.035167,0.040847,0.029154,0.003218,0.003352,0.002793,0.00,1000,0,0,0,800
2017-03-22 09:49:40.000,0.000000,0.065177,-0.004634,0.964919,0.019000,0.018154,0.013667,0.002655,0.003058,0.002089,0.00,1000,0,0,0,800
2017-03-22 09:49:50.000,0.000000,0.065215,-0.004182,0.965168,0.023000,0.016000,0.012001,0.002643,0.002929,0.002124,0.00,1000,0,0,0,800
2017-03-22 09:50:00.000,0.000000,0.065399,-0.004257,0.964939,0.023000,0.016000,0.012001,0.002698,0.003128,0.002069,0.00,1000,0,0,0,800
2017-03-22 09:50:10.000,0.000000,0.065290,-0.004232,0.965179,0.023000,0.016000,0.014154,0.002774,0.003206,0.002100,0.00,1000,0,0,0,800
2017-03-22 09:50:20.000,0.000000,0.065763,-0.003549,0.965266,0.019000,0.020000,0.012001,0.002737,0.003150,0.002258,0.00,1000,0,0,0,800
2017-03-22 09:50:30.000,0.000000,0.065486,-0.003803,0.965186,0.023000,0.020000,0.015334,0.002658,0.003073,0.002151,0.00,1000,0,0,0,800
2017-03-22 09:50:40.000,0.000000,0.065494,-0.003851,0.965479,0.023000,0.020000,0.016001,0.002731,0.003228,0.002252,0.00,1000,0,0,0,800
2017-03-22 09:50:50.000,0.000000,0.065554,-0.003689,0.965542,0.023000,0.016000,0.016001,0.002709,0.003089,0.002371,0.00,1000,0,0,0,800
2017-03-22 09:51:00.000,0.000000,0.065480,-0.003968,0.965398,0.027000,0.016000,0.012001,0.002961,0.003045,0.002253,0.00,1000,0,0,0,800
2017-03-22 09:51:10.000,0.000000,0.065319,-0.003055,0.965225,0.023000,0.022154,0.014667,0.003044,0.003383,0.002280,0.00,1000,0,0,0,800
2017-03-22 09:51:20.000,0.000000,0.065566,-0.003296,0.965197,0.023000,0.018462,0.012001,0.002791,0.003206,0.002162,0.00,1000,0,0,0,800
2017-03-22 09:51:30.000,0.000000,0.065782,-0.003360,0.965407,0.023000,0.020000,0.012001,0.002843,0.003136,0.002177,0.00,1000,0,0,0,800
2017-03-22 09:51:40.000,0.000000,0.065812,-0.002639,0.965323,0.023000,0.020000,0.012001,0.002841,0.003242,0.002155,0.00,1000,0,0,0,800
2017-03-22 09:51:50.000,0.000000,0.065968,-0.002957,0.965712,0.023000,0.018667,0.011334,0.002747,0.003258,0.002200,0.00,1000,0,0,0,800
2017-03-22 09:52:00.000,0.000000,0.065539,-0.002722,0.965609,0.023000,0.020000,0.014154,0.002801,0.003131,0.002260,0.00,1000,0,0,0,800
2017-03-22 09:52:10.000,0.000000,0.065708,-0.003158,0.965816,0.023000,0.020000,0.012924,0.002718,0.003256,0.002332,0.00,1000,0,0,0,800
2017-03-22 09:52:20.000,0.000000,0.065681,-0.003329,0.965944,0.023000,0.016000,0.012001,0.002793,0.003001,0.002330,0.00,1000,0,0,0,800
2017-03-22 09:52:30.000,0.000000,0.065842,-0.002750,0.965879,0.023000,0.020000,0.016001,0.002717,0.003105,0.002379,0.00,1000,0,0,0,800
2017-03-22 09:52:40.000,0.000000,0.065649,-0.002507,0.965951,0.019000,0.020000,0.012001,0.002577,0.003203,0.002360,0.00,1000,0,0,0,800
2017-03-22 09:52:50.000,0.000000,0.065584,-0.002698,0.965475,0.023000,0.022154,0.012001,0.002705,0.003157,0.002312,0.00,1000,0,0,0,800
2017-03-22 09:53:00.000,0.000000,0.065551,-0.002457,0.965161,0.023000,0.017334,0.014154,0.002776,0.003062,0.002190,0.00,1000,0,0,0,800
2017-03-22 09:53:10.000,0.000000,0.065556,-0.002178,0.965227,0.023000,0.020000,0.015334,0.002708,0.003167,0.002233,0.00,1000,0,0,0,800
2017-03-22 09:53:20.000,0.000000,0.065444,-0.002135,0.965303,0.023000,0.019334,0.012001,0.002659,0.003245,0.002185,0.00,1000,0,0,0,800
2017-03-22 09:53:30.000,0.000000,0.065788,-0.001568,0.965521,0.025000,0.018667,0.012001,0.002915,0.002868,0.002335,0.00,1000,0,0,0,800
