Time,enmoTrunc,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2017-03-22 09:45:00.000,0.045197,1.795432,1.991323,2.440676,0.433230,0.456380,0.318787,0.00,500,0,0,0,400
2017-03-22 09:45:05.000,0.024791,0.819543,0.963372,2.245420,0.148778,0.158539,0.444089,0.00,500,0,0,0,400
2017-03-22 09:45:10.000,0.040689,1.136142,3.212850,1.633761,0.127769,0.255195,0.557935,0.00,500,0,0,0,400
2017-03-22 09:45:15.000,0.061680,2.553143,3.637558,1.844617,0.304031,0.356233,0.482857,0.00,500,0,4,0,400
2017-03-22 09:45:20.000,0.036372,2.346893,2.030582,1.892626,0.508235,0.484296,0.451733,0.00,500,0,0,0,400
2017-03-22 09:45:25.000,0.049645,0.923529,1.085452,1.798156,0.185278,0.133788,0.292401,0.00,500,0,0,0,400
2017-03-22 09:45:30.000,0.055366,1.934694,2.696497,2.879818,0.191582,0.225801,0.317711,0.00,500,0,2,0,400
2017-03-22 09:45:35.000,0.032759,1.087785,1.459307,1.675539,0.184970,0.225296,0.276859,0.00,500,0,0,0,400
2017-03-22 09:45:40.000,0.016513,1.608587,1.179314,1.521133,0.464918,0.172128,0.406597,0.00,500,0,0,0,400
2017-03-22 09:45:45.000,0.000221,0.023409,0.066635,0.018242,0.003439,0.002303,0.003146,0.00,500,0,0,0,400
2017-03-22 09:45:50.000,0.024208,1.147102,1.254934,2.098783,0.299262,0.373576,0.491535,0.00,500,0,0,0,400
2017-03-22 09:45:55.000,0.043352,1.317728,2.101725,2.123965,0.312874,0.522239,0.405617,0.00,500,0,0,0,400
2017-03-22 09:46:00.000,0.078269,1.706189,2.208853,2.245660,0.215784,0.386003,0.374295,0.00,500,0,0,0,400
2017-03-22 09:46:05.000,0.088972,1.485351,1.393876,1.653850,0.248393,0.303775,0.258174,0.00,500,0,0,0,400
2017-03-22 09:46:10.000,0.068959,2.272047,2.134313,1.808280,0.276992,0.338099,0.265546,0.00,500,0,0,0,400
2017-03-22 09:46:15.000,0.159943,2.610792,2.313047,1.512782,0.424094,0.348798,0.236894,0.00,500,0,0,0,400
2017-03-22 09:46:20.000,0.089932,3.372110,2.542796,1.671301,0.356896,0.250559,0.182859,0.00,500,0,0,0,400
2017-03-22 09:46:25.000,0.000145,0.021768,0.068889,0.016004,0.003271,0.002282,0.003187,0.00,500,0,0,0,400
2017-03-22 09:46:30.000,0.000102,0.017833,0.065813,0.008119,0.003144,0.002353,0.003017,0.00,500,0,0,0,400
2017-03-22 09:46:35.000,0.000110,0.022433,0.069367,0.011411,0.003373,0.002380,0.003038,0.00,500,0,0,0,400
2017-03-22 09:46:40.000,0.000111,0.018846,0.068034,0.010784,0.003188,0.002319,0.003010,0.00,500,0,0,0,400
2017-03-22 09:46:45.000,0.000184,0.021798,0.069367,0.010224,0.003280,0.002400,0.003123,0.00,500,0,0,0,400
2017-03-22 09:46:50.000,0.000241,0.025449,0.095915,0.015920,0.004097,0.005122,0.003261,0.00,500,0,0,0,400
2017-03-22 09:46:55.000,0.014787,1.017274,1.237143,1.421760,0.246806,0.289526,0.210879,0.00,500,0,0,0,400
2017-03-22 09:47:00.000,0.034837,1.597908,1.903603,2.079271,0.399828,0.241429,0.370038,0.00,500,0,1,0,400
2017-03-22 09:47:05.000,0.011549,0.765047,1.071753,0.879471,0.066013,0.084613,0.055729,0.00,500,0,0,0,400
2017-03-22 09:47:10.000,0.034574,1.083064,1.929528,1.886493,0.231896,0.402344,0.385589,0.00,500,0,0,0,400
