Time,enmoTrunc,xMean,yMean,zMean,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2017-03-22 09:46:30.000,0.000000,0.033161,-0.029789,0.966888,0.023000,0.039000,0.011469,0.003342,0.002486,0.002492,0.00,1000,0,0,0,800
2017-03-22 09:46:40.000,0.000000,0.033883,-0.029550,0.966961,0.022349,0.039000,0.010839,0.003317,0.002478,0.002550,0.00,1000,0,0,0,800
2017-03-22 09:47:20.000,0.000000,0.032916,-0.026126,0.966526,0.031063,0.045791,0.015449,0.004803,0.003629,0.002427,0.00,1000,0,0,0,800
2017-03-22 09:47:30.000,0.000000,0.034290,-0.026196,0.966870,0.024239,0.035107,0.016053,0.004174,0.002652,0.002715,0.00,1000,0,0,0,800
2017-03-22 09:48:50.000,0.000000,0.063566,-0.006231,0.965563,0.019111,0.018236,0.012084,0.002749,0.002912,0.002243,0.00,1000,0,0,0,800
2017-03-22 09:49:00.000,0.000000,0.064055,-0.005384,0.965826,0.021686,0.018922,0.016001,0.002754,0.003114,0.002302,0.00,1000,0,0,0,800
2017-03-22 09:49:10.000,0.000000,0.064660,-0.004944,0.965801,0.027000,0.019202,0.016106,0.002902,0.002916,0.002329,0.00,1000,0,0,0,800
2017-03-22 09:49:20.000,0.000000,0.064566,-0.004589,0.965360,0.023000,0.020075,0.012241,0.002685,0.003066,0.002207,0.00,1000,0,0,0,800
2017-03-22 09:49:30.000,0.000000,0.064802,-0.004245,0.965406,0.033798,0.040410,0.029717,0.003231,0.003353,0.002796,0.00,1000,0,0,0,800
2017-03-22 09:49:40.000,0.000000,0.065167,-0.004632,0.964919,0.019000,0.018242,0.013893,0.002663,0.003065,0.002090,0.00,1000,0,0,0,800
2017-03-22 09:49:50.000,0.000000,0.065204,-0.004181,0.965167,0.023000,0.016291,0.012190,0.002658,0.002929,0.002127,0.00,1000,0,0,0,800
2017-03-22 09:50:00.000,0.000000,0.065395,-0.004253,0.964937,0.023141,0.016260,0.012058,0.002710,0.003128,0.002070,0.00,1000,0,0,0,800
2017-03-22 09:50:10.000,0.000000,0.065280,-0.004231,0.965176,0.023000,0.016276,0.014562,0.002784,0.003206,0.002097,0.00,1000,0,0,0,800
2017-03-22 09:50:20.000,0.000000,0.065752,-0.003552,0.965268,0.019088,0.020000,0.012003,0.002751,0.003153,0.002258,0.00,1000,0,0,0,800
2017-03-22 09:50:30.000,0.000000,0.065478,-0.003808,0.965187,0.023000,0.020198,0.015127,0.002669,0.003073,0.002155,0.00,1000,0,0,0,800
2017-03-22 09:50:40.000,0.000000,0.065484,-0.003850,0.965479,0.023221,0.020072,0.016191,0.002740,0.003234,0.002251,0.00,1000,0,0,0,800
2017-03-22 09:50:50.000,0.000000,0.065545,-0.003687,0.965538,0.023000,0.016158,0.016110,0.002723,0.003100,0.002370,0.00,1000,0,0,0,800
2017-03-22 09:51:00.000,0.000000,0.065470,-0.003967,0.965396,0.027000,0.016282,0.012132,0.002979,0.003053,0.002255,0.00,1000,0,0,0,800
2017-03-22 09:51:10.000,0.000000,0.065305,-0.003052,0.965225,0.023000,0.022227,0.014684,0.003060,0.003385,0.002280,0.00,1000,0,0,0,800
2017-03-22 09:51:20.000,0.000000,0.065556,-0.003295,0.965200,0.023000,0.018528,0.012114,0.002799,0.003206,0.002165,0.00,1000,0,0,0,800
2017-03-22 09:51:30.000,0.000000,0.065771,-0.003355,0.965404,0.023000,0.020000,0.012217,0.002854,0.003143,0.002182,0.00,1000,0,0,0,800
2017-03-22 09:51:40.000,0.000000,0.065799,-0.002636,0.965321,0.023000,0.020000,0.012177,0.002850,0.003241,0.002156,0.00,1000,0,0,0,800
2017-03-22 09:51:50.000,0.000000,0.065956,-0.002952,0.965713,0.023000,0.018800,0.011376,0.002760,0.003261,0.002202,0.00,1000,0,0,0,800
2017-03-22 09:52:00.000,0.000000,0.065531,-0.002715,0.965610,0.023174,0.020000,0.014753,0.002814,0.003135,0.002263,0.00,1000,0,0,0,800
2017-03-22 09:52:10.000,0.000000,0.065695,-0.003157,0.965817,0.023191,0.020000,0.013092,0.002724,0.003253,0.002335,0.00,1000,0,0,0,800
2017-03-22 09:52:20.000,0.000000,0.065670,-0.003331,0.965944,0.023036,0.016309,0.012041,0.002798,0.003005,0.002331,0.00,1000,0,0,0,800
2017-03-22 09:52:30.000,0.000000,0.065825,-0.002754,0.965881,0.023123,0.019836,0.016001,0.002723,0.003109,0.002381,0.00,1000,0,0,0,800
2017-03-22 09:52:40.000,0.000000,0.065640,-0.002503,0.965952,0.019000,0.020000,0.012218,0.002586,0.003206,0.002358,0.00,1000,0,0,0,800
