Time,enmoTrunc,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2017-03-22 09:45:00.000,0.000476,0.033328,0.020030,0.016758,0.003368,0.002763,0.003338,0.00,500,0,0,0,400
2017-03-22 09:45:05.000,0.000588,0.016664,0.020030,0.014990,0.003002,0.002831,0.003310,0.00,500,0,0,0,400
2017-03-22 09:45:10.000,0.000583,0.020830,0.022318,0.016450,0.003117,0.003014,0.003266,0.00,500,0,0,0,400
2017-03-22 09:45:15.000,0.000261,0.020830,0.021848,0.014298,0.003056,0.002862,0.003293,0.00,500,0,0,0,400
2017-03-22 09:45:20.000,0.000227,0.016664,0.023005,0.014990,0.002946,0.002826,0.003319,0.00,500,0,0,0,400
2017-03-22 09:45:25.000,0.000118,0.029162,0.020030,0.014990,0.003143,0.002776,0.003177,0.00,500,0,0,0,400
2017-03-22 09:45:30.000,0.000134,0.024996,0.020030,0.014990,0.003159,0.002837,0.003172,0.00,500,0,0,0,400
2017-03-22 09:45:35.000,0.000292,0.020830,0.021861,0.014990,0.003242,0.002971,0.003323,0.00,500,0,0,0,400
2017-03-22 09:45:40.000,0.000242,0.023394,0.020335,0.014990,0.003304,0.002846,0.003141,0.00,500,0,0,0,400
2017-03-22 09:45:45.000,0.000333,0.020830,0.020113,0.018987,0.003085,0.002922,0.003455,0.00,500,0,0,0,400
2017-03-22 09:45:50.000,0.000286,0.016664,0.021187,0.014990,0.002861,0.002758,0.003293,0.00,500,0,0,0,400
2017-03-22 09:45:55.000,0.000430,0.020830,0.022318,0.014990,0.003074,0.002748,0.003320,0.00,500,0,0,0,400
2017-03-22 09:46:00.000,0.000620,0.016664,0.020335,0.015912,0.002973,0.002905,0.003254,0.00,500,0,0,0,400
2017-03-22 09:46:05.000,0.000611,0.016664,0.020030,0.011992,0.002906,0.002835,0.003214,0.00,500,0,0,0,400
2017-03-22 09:46:10.000,0.000489,0.016664,0.020030,0.013824,0.003102,0.002785,0.003300,0.00,500,0,0,0,400
2017-03-22 09:46:15.000,0.000688,0.033328,0.021403,0.017449,0.003381,0.002807,0.003411,0.00,500,0,0,0,400
2017-03-22 09:46:20.000,0.000419,0.024996,0.020335,0.014490,0.003138,0.002873,0.003402,0.00,500,0,0,0,400
2017-03-22 09:46:25.000,0.000610,0.020830,0.021403,0.012658,0.003275,0.002859,0.003333,0.00,500,0,0,0,400
2017-03-22 09:46:30.000,0.000634,0.020830,0.020030,0.014990,0.003069,0.002828,0.003176,0.00,500,0,0,0,400
2017-03-22 09:46:35.000,0.000613,0.020830,0.020030,0.016296,0.003357,0.002916,0.003228,0.00,500,0,0,0,400
2017-03-22 09:46:40.000,0.000780,0.020830,0.020335,0.011992,0.003013,0.002879,0.003181,0.00,500,0,0,0,400
2017-03-22 09:46:45.000,0.000890,0.024996,0.023005,0.014323,0.003152,0.002992,0.003210,0.00,500,0,0,0,400
2017-03-22 09:46:50.000,0.001108,0.016664,0.020030,0.011992,0.003162,0.002784,0.003335,0.00,500,0,0,0,400
2017-03-22 09:46:55.000,0.000742,0.020830,0.021403,0.014990,0.003277,0.002848,0.003327,0.00,500,0,0,0,400
2017-03-22 09:47:00.000,0.000663,0.024996,0.020030,0.014490,0.003083,0.003195,0.003281,0.00,500,0,0,0,400
2017-03-22 09:47:05.000,0.000673,0.020830,0.020335,0.014990,0.003042,0.002796,0.003283,0.00,500,0,0,0,400
