Time,enmoTrunc,xMean,yMean,zMean,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2017-03-22 09:45:00.000,0.000000,0.005591,-0.013954,0.984457,0.032000,0.020000,0.017462,0.003069,0.002832,0.002856,0.00,1000,0,0,0,800
2017-03-22 09:45:10.000,0.000000,0.005661,-0.013687,0.984162,0.020000,0.022308,0.016462,0.002964,0.002965,0.002849,0.00,1000,0,0,0,800
2017-03-22 09:45:20.000,0.000000,0.005258,-0.013687,0.983181,0.028000,0.023000,0.015001,0.002925,0.002827,0.002752,0.00,1000,0,0,0,800
2017-03-22 09:45:30.000,0.000000,0.005294,-0.013442,0.983346,0.024000,0.021847,0.015001,0.003091,0.002936,0.002765,0.00,1000,0,0,0,800
2017-03-22 09:45:40.000,0.000000,0.005584,-0.013704,0.983870,0.022462,0.020308,0.019001,0.003069,0.002911,0.002814,0.00,1000,0,0,0,800
2017-03-22 09:45:50.000,0.000000,0.005581,-0.013932,0.983996,0.020000,0.022308,0.015001,0.002857,0.002778,0.002838,0.00,1000,0,0,0,800
2017-03-22 09:46:00.000,0.000000,0.005669,-0.013687,0.984894,0.016000,0.020308,0.015924,0.002823,0.002896,0.002732,0.00,1000,0,0,0,800
2017-03-22 09:46:10.000,0.000000,0.005430,-0.013736,0.984691,0.032000,0.021385,0.017462,0.003120,0.002825,0.002880,0.00,1000,0,0,0,800
2017-03-22 09:46:20.000,0.000000,0.005571,-0.013480,0.984440,0.024000,0.021385,0.015167,0.003082,0.002902,0.002901,0.00,1000,0,0,0,800
2017-03-22 09:46:30.000,0.000000,0.005494,-0.013624,0.984969,0.020000,0.020000,0.019001,0.003097,0.002906,0.002695,0.00,1000,0,0,0,800
2017-03-22 09:46:40.000,0.000000,0.005271,-0.013935,0.985451,0.024000,0.023000,0.014334,0.002962,0.002968,0.002687,0.00,1000,0,0,0,800
2017-03-22 09:46:50.000,0.000000,0.005441,-0.013702,0.985514,0.020000,0.021385,0.015001,0.003105,0.002843,0.002863,0.00,1000,0,0,0,800
2017-03-22 09:47:00.000,0.000000,0.004985,-0.013729,0.984961,0.024000,0.020308,0.015001,0.002945,0.003045,0.002788,0.00,1000,0,0,0,800
2017-03-22 09:47:10.000,0.000000,0.005220,-0.013437,0.984896,0.020000,0.020000,0.013847,0.003104,0.002918,0.002793,0.00,1000,0,0,0,800
2017-03-22 09:47:20.000,0.000000,0.005241,-0.013508,0.985477,0.020000,0.021385,0.015001,0.003039,0.002837,0.002739,0.00,1000,0,0,0,800
2017-03-22 09:47:30.000,0.000000,0.005511,-0.013401,0.985812,0.016000,0.022501,0.016084,0.002831,0.002920,0.002776,0.00,1000,0,0,0,800
2017-03-22 09:47:40.000,0.000000,0.005326,-0.013554,0.986156,0.024000,0.021385,0.019001,0.003264,0.002860,0.002784,0.00,1000,0,0,0,800
2017-03-22 09:47:50.000,0.000000,0.004881,-0.013644,0.985892,0.020000,0.023000,0.012924,0.003281,0.003038,0.002767,0.00,1000,0,0,0,800
2017-03-22 09:48:00.000,0.000000,0.005301,-0.013450,0.985854,0.020000,0.022501,0.017577,0.002918,0.002940,0.002969,0.00,1000,0,0,0,800
2017-03-22 09:48:10.000,0.000000,0.004898,-0.013597,0.985992,0.020000,0.023000,0.018975,0.002990,0.002862,0.002858,0.00,1000,0,0,0,800
2017-03-22 09:48:20.000,0.000000,0.004660,-0.013506,0.986571,0.032000,0.026501,0.150513,0.003363,0.002962,0.005870,0.00,1000,0,0,0,800
2017-03-22 09:48:30.000,0.000000,0.004978,-0.013775,0.986378,0.020000,0.023000,0.019001,0.002954,0.002880,0.003031,0.00,1000,0,0,0,800
2017-03-22 09:48:40.000,0.000000,0.004551,-0.013739,0.986019,0.035000,0.023000,0.078000,0.003177,0.003006,0.004141,0.00,1000,0,0,0,800
2017-03-22 09:48:50.000,0.000000,0.004511,-0.013379,0.984995,0.024000,0.022308,0.018501,0.003158,0.002950,0.002780,0.00,1000,0,0,0,800
2017-03-22 09:49:00.000,0.000000,0.004541,-0.013042,0.984593,0.020000,0.023000,0.015001,0.003110,0.003025,0.002773,0.00,1000,0,0,0,800
2017-03-22 09:49:10.000,0.000000,0.004683,-0.012961,0.985066,0.020000,0.022308,0.018334,0.002938,0.002959,0.002906,0.00,1000,0,0,0,800
2017-03-22 09:49:20.000,0.000000,0.004563,-0.012919,0.985454,0.020000,0.023000,0.016308,0.003014,0.002875,0.002848,0.00,1000,0,0,0,800
2017-03-22 09:49:40.000,0.000000,0.001695,0.001951,0.986181,0.189417,0.083026,0.122334,0.008950,0.003922,0.005222,0.00,1000,0,0,0,800
2017-03-22 09:51:30.000,0.000000,-0.005098,-0.015506,0.987106,0.031000,0.027000,0.016001,0.003655,0.003585,0.002736,0.00,1000,0,0,0,800
2017-03-22 09:51:40.000,0.000000,-0.004678,-0.015321,0.987728,0.028000,0.026334,0.019001,0.003603,0.003251,0.002865,0.00,1000,0,0,0,800
