Time,enmoTrunc,xMean,yMean,zMean,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2017-03-22 09:45:00.000,0.000000,0.005579,-0.013949,0.984457,0.032202,0.020171,0.017564,0.003086,0.002835,0.002858,0.00,1000,0,0,0,800
2017-03-22 09:45:10.000,0.000000,0.005650,-0.013682,0.984163,0.020200,0.022375,0.017320,0.002974,0.002967,0.002854,0.00,1000,0,0,0,800
2017-03-22 09:45:20.000,0.000000,0.005245,-0.013687,0.983180,0.028000,0.023000,0.015001,0.002934,0.002823,0.002754,0.00,1000,0,0,0,800
2017-03-22 09:45:30.000,0.000000,0.005283,-0.013437,0.983340,0.024142,0.021930,0.015064,0.003099,0.002942,0.002767,0.00,1000,0,0,0,800
2017-03-22 09:45:40.000,0.000000,0.005573,-0.013702,0.983870,0.022432,0.020233,0.019067,0.003085,0.002917,0.002812,0.00,1000,0,0,0,800
2017-03-22 09:45:50.000,0.000000,0.005570,-0.013928,0.983999,0.020000,0.022408,0.015087,0.002870,0.002790,0.002844,0.00,1000,0,0,0,800
2017-03-22 09:46:00.000,0.000000,0.005661,-0.013685,0.984896,0.016090,0.020291,0.016070,0.002832,0.002895,0.002735,0.00,1000,0,0,0,800
2017-03-22 09:46:10.000,0.000000,0.005421,-0.013732,0.984683,0.032145,0.021747,0.017622,0.003131,0.002826,0.002881,0.00,1000,0,0,0,800
2017-03-22 09:46:20.000,0.000000,0.005559,-0.013475,0.984448,0.024265,0.021389,0.015216,0.003094,0.002906,0.002902,0.00,1000,0,0,0,800
2017-03-22 09:46:30.000,0.000000,0.005485,-0.013619,0.984966,0.020118,0.020174,0.019001,0.003107,0.002906,0.002698,0.00,1000,0,0,0,800
2017-03-22 09:46:40.000,0.000000,0.005262,-0.013930,0.985453,0.024090,0.023000,0.014398,0.002974,0.002966,0.002693,0.00,1000,0,0,0,800
2017-03-22 09:46:50.000,0.000000,0.005432,-0.013701,0.985518,0.020207,0.021452,0.015133,0.003111,0.002842,0.002860,0.00,1000,0,0,0,800
2017-03-22 09:47:00.000,0.000000,0.004972,-0.013722,0.984963,0.024158,0.020224,0.015118,0.002954,0.003049,0.002786,0.00,1000,0,0,0,800
