Time,enmoTrunc,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2017-03-16 12:05:00.000,0.000956,0.099089,0.012792,0.037955,0.010641,0.001632,0.003990,0.00,500,0,0,0,400
2017-03-16 12:05:05.000,0.001226,0.135834,0.023973,0.063506,0.012432,0.002182,0.006073,0.00,500,0,0,0,400
2017-03-16 12:05:10.000,0.000860,0.070045,0.012792,0.012201,0.001526,0.001683,0.003007,0.00,500,0,0,0,400
2017-03-16 12:05:15.000,0.000856,0.070045,0.013625,0.009228,0.001465,0.001660,0.003000,0.00,500,0,0,0,400
2017-03-16 12:05:20.000,0.000980,0.070045,0.012792,0.013990,0.001618,0.001826,0.003138,0.00,500,0,0,0,400
2017-03-16 12:05:25.000,0.001001,0.075034,0.012792,0.013681,0.001697,0.001610,0.003134,0.00,500,0,0,0,400
2017-03-16 12:05:30.000,0.001060,0.070086,0.012792,0.012250,0.001599,0.001607,0.002964,0.00,500,0,0,0,400
2017-03-16 12:05:35.000,0.001067,0.075034,0.011817,0.012964,0.001791,0.001790,0.003108,0.00,500,0,0,0,400
2017-03-16 12:05:40.000,0.001055,0.070121,0.012792,0.009140,0.001670,0.001659,0.002853,0.00,500,0,0,0,400
2017-03-16 12:05:45.000,0.001402,0.140172,0.031792,0.097013,0.007981,0.002718,0.006275,0.00,500,0,0,0,400
2017-03-16 12:05:50.000,0.001158,0.066268,0.016809,0.010850,0.002851,0.002202,0.002838,0.00,500,0,0,0,400
2017-03-16 12:05:55.000,0.001300,0.064060,0.012792,0.012067,0.002792,0.001697,0.002696,0.00,500,0,0,0,400
2017-03-16 12:06:00.000,0.001541,0.067053,0.012792,0.017026,0.002876,0.001624,0.002923,0.00,500,0,0,0,400
2017-03-16 12:06:05.000,0.001317,0.064060,0.012827,0.014035,0.002818,0.001884,0.002934,0.00,500,0,0,0,400
2017-03-16 12:06:10.000,0.001292,0.064060,0.012792,0.012156,0.002703,0.001661,0.002870,0.00,500,0,0,0,400
2017-03-16 12:06:15.000,0.001397,0.067053,0.012792,0.014989,0.002759,0.001589,0.002718,0.00,500,0,0,0,400
2017-03-16 12:06:20.000,0.001290,0.069811,0.017612,0.022983,0.003348,0.002236,0.003193,0.00,500,0,0,0,400
2017-03-16 12:06:25.000,0.001358,0.064154,0.012792,0.012175,0.002650,0.001765,0.002717,0.00,500,0,0,0,400
2017-03-16 12:06:30.000,0.001391,0.064216,0.012941,0.016920,0.002722,0.001756,0.002941,0.00,500,0,0,0,400
2017-03-16 12:06:35.000,0.001283,0.064142,0.013006,0.012112,0.002829,0.001769,0.002815,0.00,500,0,0,0,400
2017-03-16 12:06:40.000,0.000990,0.064060,0.012792,0.010666,0.002591,0.001789,0.002717,0.00,500,0,0,0,400
2017-03-16 12:06:45.000,0.001040,0.064288,0.012792,0.013990,0.002567,0.001604,0.002949,0.00,500,0,0,0,400
2017-03-16 12:06:50.000,0.001101,0.064060,0.012792,0.010770,0.002629,0.001861,0.002835,0.00,500,0,0,0,400
2017-03-16 12:06:55.000,0.001011,0.067053,0.012792,0.011614,0.002709,0.001698,0.002846,0.00,500,0,0,0,400
2017-03-16 12:07:00.000,0.039025,1.124291,1.516220,2.678502,0.260601,0.207689,0.599492,0.00,500,0,0,0,400
2017-03-16 12:07:05.000,0.128037,3.142670,1.716690,2.955317,0.495626,0.236834,0.518727,0.00,500,0,5,0,400
2017-03-16 12:07:10.000,0.031986,0.413737,0.447317,0.380595,0.066918,0.027665,0.034533,0.00,500,0,0,0,400
2017-03-16 12:07:15.000,0.077304,2.088214,0.713043,1.000296,0.239810,0.049582,0.113451,0.00,500,0,3,0,400
2017-03-16 12:07:20.000,0.062947,1.082583,0.998524,1.393500,0.149280,0.081093,0.096238,0.00,500,0,0,0,400
2017-03-16 12:07:25.000,0.067191,1.145874,0.385091,0.389405,0.157345,0.036541,0.057693,0.00,500,0,0,0,400
2017-03-16 12:07:30.000,0.137176,1.820570,0.655377,0.979838,0.319416,0.083106,0.121827,0.00,500,0,1,0,400
2017-03-16 12:07:35.000,0.105160,2.689236,1.890220,2.106245,0.420743,0.374223,0.476842,0.00,500,0,0,0,400
2017-03-16 12:07:40.000,0.028572,1.120327,1.450390,1.598903,0.273934,0.226177,0.227082,0.00,500,0,0,0,400
2017-03-16 12:07:45.000,0.045725,1.540759,1.748178,2.292284,0.327176,0.404072,0.323150,0.00,500,0,0,0,400
2017-03-16 12:07:50.000,0.006315,0.965260,0.764746,1.484076,0.073317,0.068902,0.089776,0.00,500,0,0,0,400
2017-03-16 12:07:55.000,0.025727,1.184265,1.322054,1.521849,0.277300,0.249916,0.161457,0.00,500,0,0,0,400
2017-03-16 12:08:00.000,0.001882,0.233443,0.166958,1.169635,0.012374,0.012547,0.012707,0.00,500,0,0,0,400
2017-03-16 12:08:05.000,0.000688,0.009057,0.015152,0.993942,0.001550,0.002876,0.003318,0.00,500,0,0,0,400
2017-03-16 12:08:10.000,0.000806,0.009065,0.014685,0.993942,0.001570,0.002700,0.003330,0.00,500,0,0,0,400
2017-03-16 12:08:15.000,0.000533,0.008687,0.015826,0.993942,0.001621,0.002949,0.003301,0.00,500,0,0,0,400
2017-03-16 12:08:20.000,0.065379,1.992358,2.578043,2.693612,0.497685,0.312470,0.598621,0.00,500,0,0,0,400
2017-03-16 12:08:25.000,0.034321,1.712611,1.053577,1.465020,0.112861,0.134448,0.164914,0.00,500,0,0,0,400
2017-03-16 12:08:30.000,0.039060,1.479859,1.566953,2.011201,0.383473,0.221072,0.631648,0.00,500,0,0,0,400
2017-03-16 12:08:35.000,0.007877,0.735741,0.373899,0.682776,0.149728,0.033847,0.076249,0.00,500,0,0,0,400
2017-03-16 12:08:40.000,0.000795,0.540922,0.009028,0.012034,0.001904,0.001627,0.002892,0.00,500,0,0,0,400
2017-03-16 12:08:45.000,0.001049,0.540922,0.009081,0.012088,0.001845,0.001650,0.003152,0.00,500,0,0,0,400
2017-03-16 12:08:50.000,0.006867,0.837806,0.327865,1.059874,0.094368,0.027036,0.066015,0.00,500,0,1,0,400
2017-03-16 12:08:55.000,0.003607,0.326007,0.134636,0.470428,0.014632,0.011277,0.025604,0.00,500,0,0,0,400
2017-03-16 12:09:00.000,0.001106,0.156026,0.016914,0.026265,0.001937,0.003287,0.004074,0.00,500,0,0,0,400
2017-03-16 12:09:05.000,0.001609,0.156918,0.021936,0.055013,0.002540,0.003807,0.006114,0.00,500,0,0,0,400
2017-03-16 12:09:10.000,0.002337,0.170524,0.038962,0.138759,0.003244,0.004493,0.009052,0.00,500,0,0,0,400
2017-03-16 12:09:15.000,0.015587,1.494434,0.649639,2.051974,0.105030,0.053501,0.132975,0.00,500,0,1,0,400
2017-03-16 12:09:20.000,0.052531,1.795844,1.858823,3.231069,0.222789,0.446676,0.615141,0.00,500,0,0,0,400
2017-03-16 12:09:25.000,0.029489,0.826443,1.785653,1.339397,0.132067,0.473176,0.380114,0.00,500,0,0,0,400
2017-03-16 12:09:30.000,0.032056,0.829596,0.789908,1.467020,0.100232,0.104274,0.121746,0.00,500,0,0,0,400
