Time,enmoTrunc,xMean,yMean,zMean,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2017-03-16 12:05:00.000,0.000000,-0.058053,0.014646,1.027255,0.130946,0.023993,0.063553,0.012023,0.001932,0.004864,0.00,1000,0,0,0,800
2017-03-16 12:05:10.000,0.000000,-0.060771,0.014138,1.027411,0.065000,0.013637,0.012210,0.001495,0.001673,0.002471,0.00,1000,0,0,0,800
2017-03-16 12:05:20.000,0.000000,-0.060906,0.013983,1.027585,0.070000,0.012057,0.014715,0.001659,0.001743,0.002632,0.00,1000,0,0,0,800
2017-03-16 12:05:30.000,0.000000,-0.061112,0.013869,1.027712,0.070000,0.012083,0.013087,0.001701,0.001708,0.002512,0.00,1000,0,0,0,800
2017-03-16 12:05:40.000,0.000000,-0.060471,0.014061,1.027768,0.135294,0.031820,0.097085,0.005834,0.002254,0.004568,0.00,1000,0,0,0,800
2017-03-16 12:05:50.000,0.000000,-0.052878,0.013507,1.028664,0.061214,0.016823,0.012076,0.002827,0.001977,0.002183,0.00,1000,0,0,0,800
2017-03-16 12:06:00.000,0.000000,-0.052594,0.013741,1.028885,0.062000,0.012838,0.017038,0.002854,0.001762,0.002384,0.00,1000,0,0,0,800
2017-03-16 12:06:10.000,0.000000,-0.052813,0.013896,1.028789,0.062000,0.012089,0.015165,0.002738,0.001630,0.002213,0.00,1000,0,0,0,800
2017-03-16 12:06:20.000,0.000000,-0.053256,0.013588,1.028733,0.064765,0.017627,0.023001,0.003026,0.002017,0.002425,0.00,1000,0,0,0,800
2017-03-16 12:06:30.000,0.000000,-0.053476,0.013580,1.028674,0.059157,0.012307,0.016933,0.002782,0.001766,0.002317,0.00,1000,0,0,0,800
2017-03-16 12:06:40.000,0.000000,-0.053912,0.013616,1.028262,0.059229,0.012000,0.014001,0.002591,0.001713,0.002264,0.00,1000,0,0,0,800
2017-03-16 12:06:50.000,0.000000,-0.053889,0.013668,1.028287,0.062000,0.012191,0.011622,0.002674,0.001787,0.002270,0.00,1000,0,0,0,800
2017-03-16 12:08:00.000,0.000000,0.160712,0.036488,-0.957406,0.234000,0.167102,1.140824,0.008850,0.009131,0.009134,0.00,1000,0,0,0,800
2017-03-16 12:08:10.000,0.000000,0.161453,0.036074,-0.957158,0.009204,0.015840,0.965000,0.001614,0.002832,0.002853,0.00,1000,0,0,0,800
2017-03-16 12:08:40.000,0.000000,-0.531394,0.030495,0.873989,0.537000,0.009089,0.012097,0.001638,0.001645,0.002665,0.00,1000,0,0,0,800
2017-03-16 12:09:00.000,0.000000,-0.145813,0.051985,1.017612,0.152081,0.021955,0.055054,0.002251,0.003566,0.004916,0.00,1000,0,0,0,800
2017-03-16 12:10:00.000,0.000000,-0.049225,0.077891,1.027443,0.056093,0.012040,0.012999,0.001894,0.001733,0.002441,0.00,1000,0,0,0,800
2017-03-16 12:10:10.000,0.000000,-0.049246,0.077973,1.027474,0.056962,0.012001,0.012616,0.001889,0.001869,0.002447,0.00,1000,0,0,0,800
2017-03-16 12:10:20.000,0.000000,-0.049420,0.077706,1.027125,0.056236,0.012173,0.013568,0.002047,0.001683,0.002544,0.00,1000,0,0,0,800
2017-03-16 12:10:30.000,0.000000,-0.049641,0.077827,1.027339,0.057624,0.012110,0.009352,0.002000,0.001874,0.002508,0.00,1000,0,0,0,800
2017-03-16 12:10:40.000,0.000000,-0.049394,0.077880,1.027589,0.056164,0.012001,0.012261,0.001863,0.001809,0.002466,0.00,1000,0,0,0,800
2017-03-16 12:10:50.000,0.000000,-0.049378,0.078066,1.027895,0.056000,0.013480,0.011113,0.001971,0.001843,0.002363,0.00,1000,0,0,0,800
2017-03-16 12:11:00.000,0.000000,-0.049450,0.078006,1.028298,0.056229,0.012234,0.012162,0.001924,0.001839,0.002188,0.00,1000,0,0,0,800
2017-03-16 12:11:10.000,0.000000,-0.049784,0.077694,1.027743,0.056175,0.012079,0.012243,0.001992,0.001753,0.002401,0.00,1000,0,0,0,800
2017-03-16 12:11:20.000,0.000000,-0.049767,0.077611,1.027914,0.056178,0.012042,0.012136,0.002082,0.001691,0.002411,0.00,1000,0,0,0,800
2017-03-16 12:11:30.000,0.000000,-0.049941,0.077764,1.027913,0.056185,0.012076,0.014001,0.002046,0.001863,0.002384,0.00,1000,0,0,0,800
2017-03-16 12:11:40.000,0.000000,-0.050010,0.077953,1.028087,0.056223,0.012151,0.012168,0.002218,0.001936,0.002237,0.00,1000,0,0,0,800
2017-03-16 12:11:50.000,0.000000,-0.050040,0.077866,1.028026,0.056177,0.012001,0.009792,0.002100,0.001767,0.002306,0.00,1000,0,0,0,800
2017-03-16 12:12:00.000,0.000000,-0.049990,0.077842,1.028187,0.059000,0.012001,0.012052,0.002047,0.001846,0.002176,0.00,1000,0,0,0,800
2017-03-16 12:12:10.000,0.000000,-0.049786,0.077929,1.027900,0.056161,0.012232,0.012238,0.002050,0.001700,0.002424,0.00,1000,0,0,0,800
2017-03-16 12:12:20.000,0.000000,-0.049891,0.077945,1.028292,0.057480,0.012076,0.012281,0.002066,0.001788,0.002272,0.00,1000,0,0,0,800
2017-03-16 12:12:30.000,0.000000,-0.049806,0.078169,1.028343,0.056146,0.012282,0.012223,0.001935,0.001948,0.002248,0.00,1000,0,0,0,800
2017-03-16 12:12:40.000,0.000000,-0.049847,0.078029,1.028291,0.056259,0.012226,0.011487,0.002080,0.001796,0.002253,0.00,1000,0,0,0,800
2017-03-16 12:12:50.000,0.000000,-0.050115,0.077776,1.027987,0.059000,0.012084,0.012928,0.002180,0.001814,0.002310,0.00,1000,0,0,0,800
2017-03-16 12:13:00.000,0.000000,-0.050275,0.077669,1.027949,0.056260,0.012001,0.012936,0.002197,0.001679,0.002370,0.00,1000,0,0,0,800
2017-03-16 12:13:10.000,0.000000,-0.050267,0.077637,1.027913,0.057538,0.012001,0.011656,0.002082,0.001761,0.002407,0.00,1000,0,0,0,800
2017-03-16 12:13:20.000,0.000000,-0.050219,0.077998,1.028137,0.057009,0.012214,0.012249,0.002159,0.001848,0.002218,0.00,1000,0,0,0,800
2017-03-16 12:13:30.000,0.000000,-0.050351,0.078184,1.028308,0.059000,0.012137,0.012128,0.002258,0.001897,0.002237,0.00,1000,0,0,0,800
2017-03-16 12:13:40.000,0.000000,-0.050333,0.078346,1.028149,0.059000,0.012186,0.012733,0.002203,0.002008,0.002381,0.00,1000,0,0,0,800
2017-03-16 12:13:50.000,0.000000,-0.050520,0.077883,1.028039,0.058342,0.012083,0.010513,0.002282,0.001854,0.002245,0.00,1000,0,0,0,800
2017-03-16 12:14:00.000,0.000000,-0.050614,0.077797,1.027737,0.056241,0.012001,0.012679,0.002317,0.001790,0.002429,0.00,1000,0,0,0,800
2017-03-16 12:14:10.000,0.000000,-0.050522,0.078090,1.027956,0.056258,0.012371,0.014001,0.002323,0.001969,0.002325,0.00,1000,0,0,0,800
2017-03-16 12:14:20.000,0.000000,-0.050741,0.077763,1.028002,0.057050,0.013411,0.012602,0.002325,0.001928,0.002363,0.00,1000,0,0,0,800
2017-03-16 12:14:30.000,0.000000,-0.050907,0.077768,1.027553,0.059000,0.013548,0.012272,0.002361,0.001839,0.002444,0.00,1000,0,0,0,800
2017-03-16 12:14:40.000,0.000000,-0.050916,0.077868,1.027626,0.058656,0.012145,0.011611,0.002533,0.001786,0.002467,0.00,1000,0,0,0,800
2017-03-16 12:14:50.000,0.000000,-0.050801,0.077838,1.027806,0.059000,0.015000,0.013339,0.002380,0.001941,0.002477,0.00,1000,0,0,0,800
2017-03-16 12:15:00.000,0.000000,-0.050863,0.078122,1.027800,0.058159,0.012246,0.014001,0.002348,0.001864,0.002397,0.00,1000,0,0,0,800
2017-03-16 12:15:10.000,0.000000,-0.050882,0.077894,1.027612,0.057323,0.012139,0.013697,0.002343,0.001915,0.002510,0.00,1000,0,0,0,800
2017-03-16 12:15:20.000,0.000000,-0.050621,0.078304,1.027610,0.059000,0.012168,0.014001,0.002397,0.002028,0.002449,0.00,1000,0,0,0,800
2017-03-16 12:15:30.000,0.000000,-0.050841,0.078290,1.027573,0.058629,0.012946,0.013698,0.002443,0.002012,0.002532,0.00,1000,0,0,0,800
2017-03-16 12:15:40.000,0.000000,-0.051012,0.077969,1.027542,0.057500,0.012139,0.012188,0.002499,0.001944,0.002476,0.00,1000,0,0,0,800
2017-03-16 12:15:50.000,0.000000,-0.051011,0.077880,1.027867,0.059000,0.012151,0.011215,0.002450,0.001795,0.002292,0.00,1000,0,0,0,800
2017-03-16 12:17:50.000,0.000000,0.189303,1.002515,-0.012429,0.109605,0.041374,0.053380,0.010525,0.005349,0.008284,0.00,1000,0,0,0,800
2017-03-16 12:18:10.000,0.000000,0.199433,0.999308,-0.031706,0.055123,0.026942,0.044000,0.010236,0.003904,0.004973,0.00,1000,0,0,0,800
2017-03-16 12:18:20.000,0.000000,0.202118,0.999252,-0.026322,0.037574,0.018074,0.040461,0.006916,0.003676,0.006309,0.00,1000,0,0,0,800
2017-03-16 12:19:00.000,0.000000,0.147563,1.008412,-0.024799,0.073103,0.026101,0.055996,0.010196,0.003739,0.009717,0.00,1000,0,0,0,800
2017-03-16 12:27:20.000,0.000000,0.292735,0.963866,0.196879,0.032046,0.026217,0.047000,0.007806,0.005191,0.012074,0.00,1000,0,0,0,800
2017-03-16 12:29:10.000,0.000000,0.307530,0.950775,0.237050,0.020804,0.022711,0.022068,0.004112,0.003693,0.003973,0.00,1000,0,0,0,800
2017-03-16 12:31:00.000,0.000000,0.326102,0.941754,0.249344,0.078038,0.074058,0.038001,0.007794,0.006586,0.006630,0.00,1000,0,0,0,800
2017-03-16 12:43:40.000,0.000000,-0.029538,0.980142,-0.241534,0.041250,0.032066,0.267000,0.003559,0.004430,0.010695,0.00,1000,0,0,0,800
2017-03-16 12:44:00.000,0.000000,-0.047185,0.962936,-0.294912,0.059880,0.027001,0.317082,0.002903,0.004519,0.009981,0.00,1000,0,0,0,800
2017-03-16 12:44:10.000,0.000000,-0.046167,0.963119,-0.294754,0.057137,0.050001,0.318701,0.003006,0.004918,0.010073,0.00,1000,0,0,0,800
2017-03-16 12:44:30.000,0.000000,-0.042301,0.965867,-0.287110,0.055893,0.027626,0.305000,0.003446,0.004892,0.010608,0.00,1000,0,0,0,800
2017-03-16 12:45:00.000,0.000000,-0.036253,0.992540,-0.190641,0.050036,0.037185,0.215583,0.005197,0.004536,0.008977,0.00,1000,0,0,0,800
2017-03-16 12:46:00.000,0.000000,-0.015946,0.022431,1.030528,0.021094,0.011207,0.023001,0.001787,0.002389,0.001982,0.00,1000,0,0,0,800
2017-03-16 12:46:10.000,0.000000,-0.014127,0.022917,1.030372,0.018080,0.011001,0.012134,0.001578,0.002292,0.001812,0.00,1000,0,0,0,800
2017-03-16 12:48:10.000,0.000000,0.223715,0.992236,0.113074,0.041885,0.027001,0.051083,0.006742,0.002589,0.009925,0.00,1000,0,0,0,800
2017-03-16 12:48:30.000,0.000000,0.203087,0.997762,0.089881,0.074887,0.018142,0.041195,0.008325,0.003635,0.006451,0.00,1000,0,0,0,800
2017-03-16 12:56:10.000,0.000000,0.199432,0.993199,0.139731,0.020399,0.023451,0.030235,0.004097,0.002998,0.005926,0.00,1000,0,0,0,800
2017-03-16 12:59:40.000,0.000000,0.203705,0.978654,0.232511,0.044088,0.042884,0.050001,0.005887,0.004040,0.006970,0.00,1000,0,0,0,800
2017-03-16 13:01:20.000,0.000000,0.228231,0.980771,0.197401,0.038104,0.029350,0.038001,0.006073,0.004774,0.005416,0.00,1000,0,0,0,800
2017-03-16 13:03:10.000,0.000000,0.193977,0.994298,0.151688,0.080955,0.042330,0.067000,0.010096,0.005718,0.008904,0.00,1000,0,0,0,800
2017-03-16 13:05:30.000,0.000000,0.172063,0.973612,0.282589,0.047001,0.042398,0.052163,0.008099,0.005607,0.009202,0.00,1000,0,0,0,800
2017-03-16 13:10:10.000,0.000000,-0.044081,1.015365,0.100066,0.054992,0.020576,0.016033,0.001932,0.003066,0.002606,0.00,1000,0,0,0,800
2017-03-16 13:10:20.000,0.000000,-0.044170,1.015747,0.099605,0.050000,0.014001,0.013495,0.001538,0.002810,0.001882,0.00,1000,0,0,0,800
2017-03-16 13:10:30.000,0.000000,-0.044168,1.015655,0.098994,0.050000,0.013007,0.012103,0.001551,0.002842,0.001862,0.00,1000,0,0,0,800
2017-03-16 13:10:40.000,0.000000,-0.044005,1.015807,0.099109,0.047077,0.014001,0.012160,0.001493,0.002726,0.001781,0.00,1000,0,0,0,800
2017-03-16 13:11:10.000,0.000000,-0.020795,-0.250727,0.992985,0.033799,0.261000,0.027782,0.003211,0.002215,0.002606,0.00,1000,0,0,0,800
2017-03-16 13:11:20.000,0.000000,-0.020791,-0.251048,0.992946,0.033914,0.264000,0.049444,0.002776,0.002423,0.003481,0.00,1000,0,0,0,800
2017-03-16 13:11:30.000,0.000000,-0.021266,-0.250779,0.992701,0.031235,0.261000,0.015172,0.002677,0.002084,0.002029,0.00,1000,0,0,0,800
2017-03-16 13:11:40.000,0.000000,-0.021191,-0.250576,0.993055,0.034322,0.261137,0.027001,0.003826,0.003353,0.003256,0.00,1000,0,0,0,800
2017-03-16 13:11:50.000,0.000000,-0.021161,-0.250505,0.992971,0.035042,0.264000,0.027098,0.003785,0.003241,0.003095,0.00,1000,0,0,0,800
2017-03-16 13:12:00.000,0.000000,-0.021372,-0.249943,0.992890,0.032339,0.261928,0.019272,0.003195,0.002482,0.002395,0.00,1000,0,0,0,800
2017-03-16 13:12:10.000,0.000000,-0.021667,-0.249866,0.992769,0.034314,0.261084,0.017337,0.003242,0.002447,0.002390,0.00,1000,0,0,0,800
2017-03-16 13:12:20.000,0.000000,-0.021745,-0.249752,0.992755,0.029000,0.255000,0.015924,0.002453,0.001902,0.001977,0.00,1000,0,0,0,800
2017-03-16 13:12:30.000,0.000000,-0.019785,-0.251833,0.992340,0.047188,0.276000,0.112000,0.004856,0.004556,0.005709,0.00,1000,0,0,0,800
2017-03-16 13:12:40.000,0.000000,-0.018769,-0.252095,0.992319,0.026000,0.261000,0.017219,0.001908,0.001750,0.001917,0.00,1000,0,0,0,800
2017-03-16 13:12:50.000,0.000000,-0.020291,-0.250073,0.992590,0.060133,0.280888,0.181512,0.004043,0.004091,0.006611,0.00,1000,0,0,0,800
2017-03-16 13:13:00.000,0.000000,-0.019875,-0.249445,0.993090,0.046538,0.264000,0.026007,0.004920,0.003188,0.003410,0.00,1000,0,0,0,800
2017-03-16 13:13:10.000,0.000000,-0.021485,-0.248337,0.993372,0.044000,0.264000,0.041001,0.007870,0.005176,0.005780,0.00,1000,0,0,0,800
2017-03-16 13:13:20.000,0.000000,-0.020250,-0.249223,0.993322,0.041050,0.264434,0.035037,0.005549,0.003898,0.004001,0.00,1000,0,0,0,800
2017-03-16 13:13:30.000,0.000000,-0.018944,-0.249960,0.993036,0.029000,0.261000,0.011491,0.002038,0.001613,0.001874,0.00,1000,0,0,0,800
2017-03-16 13:13:40.000,0.000000,-0.019057,-0.250026,0.993089,0.026154,0.255150,0.012624,0.002017,0.001751,0.001870,0.00,1000,0,0,0,800
2017-03-16 13:13:50.000,0.000000,-0.019206,-0.249815,0.993109,0.027428,0.270000,0.090451,0.002008,0.002433,0.003422,0.00,1000,0,0,0,800
2017-03-16 13:14:00.000,0.000000,-0.019263,-0.249258,0.993104,0.026180,0.256232,0.013519,0.001865,0.001668,0.001811,0.00,1000,0,0,0,800
2017-03-16 13:14:10.000,0.000000,-0.019195,-0.249340,0.993335,0.026000,0.255000,0.013510,0.001709,0.001617,0.001785,0.00,1000,0,0,0,800
2017-03-16 13:14:20.000,0.000000,-0.019143,-0.249044,0.993369,0.026081,0.255058,0.011026,0.001894,0.001701,0.001866,0.00,1000,0,0,0,800
2017-03-16 13:14:30.000,0.000000,-0.019306,-0.249062,0.993061,0.026000,0.255000,0.011822,0.001864,0.001665,0.001790,0.00,1000,0,0,0,800
2017-03-16 13:14:40.000,0.000000,-0.019426,-0.249206,0.992903,0.026072,0.255000,0.014022,0.002038,0.001659,0.001879,0.00,1000,0,0,0,800
2017-03-16 13:14:50.000,0.000000,-0.019510,-0.249031,0.993119,0.026123,0.254285,0.012166,0.001761,0.001547,0.001815,0.00,1000,0,0,0,800
2017-03-16 13:15:00.000,0.000000,-0.019635,-0.249273,0.993135,0.026000,0.255067,0.011097,0.001806,0.001616,0.001781,0.00,1000,0,0,0,800
2017-03-16 13:15:10.000,0.000000,-0.019417,-0.249139,0.993343,0.026000,0.255085,0.015000,0.001897,0.001624,0.001858,0.00,1000,0,0,0,800
2017-03-16 13:15:20.000,0.000000,-0.019347,-0.249106,0.993218,0.029000,0.255052,0.012619,0.001941,0.001672,0.001870,0.00,1000,0,0,0,800
2017-03-16 13:15:30.000,0.000000,-0.019672,-0.249025,0.993240,0.026059,0.255000,0.013439,0.001973,0.001705,0.001901,0.00,1000,0,0,0,800
2017-03-16 13:15:40.000,0.000000,-0.019760,-0.249157,0.992966,0.026110,0.255054,0.012382,0.001938,0.001737,0.001898,0.00,1000,0,0,0,800
2017-03-16 13:15:50.000,0.000000,-0.019624,-0.249226,0.993032,0.026200,0.254084,0.013844,0.001772,0.001521,0.001817,0.00,1000,0,0,0,800
2017-03-16 13:16:00.000,0.000000,-0.019556,-0.249113,0.993040,0.026146,0.255000,0.015000,0.001798,0.001586,0.001795,0.00,1000,0,0,0,800
2017-03-16 13:16:10.000,0.000000,-0.019705,-0.249170,0.993187,0.026069,0.255000,0.010011,0.001866,0.001685,0.001811,0.00,1000,0,0,0,800
2017-03-16 13:16:20.000,0.000000,-0.019683,-0.248948,0.993289,0.026218,0.255000,0.011180,0.002232,0.001855,0.001800,0.00,1000,0,0,0,800
2017-03-16 13:16:30.000,0.000000,-0.019793,-0.248930,0.993497,0.026219,0.254274,0.015000,0.001880,0.001593,0.001876,0.00,1000,0,0,0,800
2017-03-16 13:16:40.000,0.000000,-0.019922,-0.248996,0.993216,0.048564,0.267888,0.050693,0.002913,0.002747,0.003204,0.00,1000,0,0,0,800
2017-03-16 13:16:50.000,0.000000,-0.021364,-0.248127,0.993297,0.035048,0.257380,0.019089,0.003303,0.002336,0.002437,0.00,1000,0,0,0,800
2017-03-16 13:17:00.000,0.000000,-0.021422,-0.247466,0.993277,0.046941,0.259959,0.024001,0.004936,0.002901,0.002482,0.00,1000,0,0,0,800
2017-03-16 13:17:10.000,0.000000,-0.022086,-0.247202,0.993381,0.062073,0.262912,0.025105,0.010300,0.004723,0.003485,0.00,1000,0,0,0,800
2017-03-16 13:17:20.000,0.000000,-0.020656,-0.248454,0.993043,0.056052,0.263868,0.021722,0.005448,0.002774,0.002332,0.00,1000,0,0,0,800
2017-03-16 13:17:30.000,0.000000,-0.020081,-0.248618,0.993397,0.029000,0.255000,0.021204,0.002948,0.002340,0.002300,0.00,1000,0,0,0,800
2017-03-16 13:17:40.000,0.000000,-0.019932,-0.248445,0.993480,0.026081,0.255000,0.015000,0.001890,0.001603,0.001813,0.00,1000,0,0,0,800
2017-03-16 13:17:50.000,0.000000,-0.020719,-0.248160,0.993677,0.035006,0.255000,0.013826,0.003238,0.002265,0.002193,0.00,1000,0,0,0,800
2017-03-16 13:18:00.000,0.000000,-0.022178,-0.247074,0.993914,0.030795,0.259995,0.042398,0.003020,0.002665,0.003485,0.00,1000,0,0,0,800
2017-03-16 13:18:10.000,0.000000,-0.021841,-0.247205,0.993881,0.032000,0.255000,0.018094,0.002599,0.002134,0.002138,0.00,1000,0,0,0,800
2017-03-16 13:18:20.000,0.000000,-0.021249,-0.247505,0.993682,0.032011,0.253963,0.012176,0.002680,0.001994,0.001993,0.00,1000,0,0,0,800
