Time,enmoTrunc,xMean,yMean,zMean,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2016-03-22 14:59:20.000,0.000000,0.015694,-0.013496,0.938906,0.027000,0.023000,0.019000,0.003891,0.003328,0.003513,0.00,1000,0,0,0,1000
2016-03-22 14:59:30.000,0.000000,0.014062,-0.012657,0.943822,0.031000,0.023000,0.019000,0.004042,0.003223,0.003367,0.00,1000,0,0,0,1000
2016-03-22 14:59:40.000,0.000000,0.013013,-0.011871,0.946389,0.023000,0.020000,0.019001,0.003835,0.003335,0.003067,0.00,1000,0,0,0,1000
2016-03-22 14:59:50.000,0.000000,0.012190,-0.010811,0.948393,0.031000,0.020000,0.019001,0.003907,0.003177,0.002318,0.00,1000,0,0,0,1000
2016-03-22 15:00:00.000,0.000000,0.010718,-0.010144,0.950076,0.211001,0.113000,0.016001,0.008990,0.005129,0.002342,0.00,1000,0,0,0,1000
2016-03-22 15:00:10.000,0.000000,0.009508,-0.009742,0.950244,0.024000,0.023000,0.012001,0.003272,0.003231,0.002401,0.00,1000,0,0,0,1000
2016-03-22 15:00:20.000,0.000000,0.008812,-0.009463,0.950960,0.024000,0.020000,0.016001,0.003165,0.003104,0.002360,0.00,1000,0,0,0,1000
2016-03-22 15:00:50.000,0.000000,0.009536,-0.007679,0.954788,0.024000,0.016000,0.020001,0.003401,0.003088,0.002792,0.00,1000,0,0,0,1000
2016-03-22 15:01:00.000,0.000000,0.009068,-0.007467,0.955252,0.024000,0.020000,0.020001,0.003403,0.003239,0.003010,0.00,1000,0,0,0,1000
2016-03-22 15:01:10.000,0.000000,0.008800,-0.006883,0.955896,0.024000,0.020000,0.016001,0.003270,0.003148,0.003104,0.00,1000,0,0,0,1000
2016-03-22 15:01:20.000,0.000000,0.008624,-0.006719,0.957080,0.024000,0.016000,0.020001,0.003108,0.002993,0.003259,0.00,1000,0,0,0,1000
2016-03-22 15:01:30.000,0.000000,0.008829,-0.006872,0.958288,0.137000,0.109000,0.020001,0.011248,0.008146,0.003493,0.00,1000,0,0,0,1000
2016-03-22 15:01:40.000,0.000000,0.007980,-0.005963,0.958941,0.024000,0.016000,0.016001,0.003354,0.003130,0.003640,0.00,1000,0,0,0,1000
2016-03-22 15:01:50.000,0.000000,0.007396,-0.005783,0.959929,0.024000,0.016000,0.016001,0.003068,0.002975,0.003680,0.00,1000,0,0,0,1000
2016-03-22 15:02:00.000,0.000000,0.007460,-0.005939,0.959129,0.024000,0.016000,0.024001,0.003075,0.003114,0.003638,0.00,1000,0,0,0,1000
2016-03-22 15:02:10.000,0.000000,0.007484,-0.005019,0.960557,0.028000,0.024000,0.024001,0.003201,0.002988,0.003694,0.00,1000,0,0,0,1000
2016-03-22 15:02:20.000,0.000000,0.007192,-0.005251,0.960729,0.028000,0.016000,0.020001,0.003143,0.002899,0.003581,0.00,1000,0,0,0,1000
2016-03-22 15:02:30.000,0.000000,0.007095,-0.005332,0.961045,0.113000,0.210000,0.020001,0.005758,0.008860,0.003651,0.00,1000,0,0,0,1000
2016-03-22 15:02:40.000,0.000000,0.007229,-0.005216,0.961843,0.054000,0.043001,0.059001,0.003923,0.003543,0.004146,0.00,1000,0,0,0,1000
