Time,enmoTrunc,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2016-03-22 14:59:20.000,0.000000,0.026012,0.061828,0.015109,0.003770,0.003104,0.003232,0.00,500,0,0,0,500
2016-03-22 14:59:25.000,0.000000,0.022159,0.061828,0.019138,0.003593,0.003197,0.003138,0.00,500,0,0,0,500
2016-03-22 14:59:30.000,0.000000,0.029866,0.061828,0.019138,0.004016,0.003093,0.003367,0.00,500,0,0,0,500
2016-03-22 14:59:35.000,0.000000,0.022159,0.058963,0.015109,0.003737,0.003061,0.002977,0.00,500,0,0,0,500
2016-03-22 14:59:40.000,0.000000,0.022159,0.058963,0.019138,0.003792,0.003100,0.003270,0.00,500,0,0,0,500
2016-03-22 14:59:45.000,0.000000,0.022159,0.058963,0.015109,0.003575,0.003267,0.002456,0.00,500,0,0,0,500
2016-03-22 14:59:50.000,0.000000,0.026012,0.058963,0.015109,0.003808,0.002967,0.002392,0.00,500,0,0,0,500
2016-03-22 14:59:55.000,0.000000,0.026012,0.058963,0.016117,0.003688,0.003095,0.002236,0.00,500,0,0,0,500
2016-03-22 15:00:00.000,0.000005,0.203277,0.118169,0.016117,0.011728,0.006226,0.002243,0.00,500,0,0,0,500
2016-03-22 15:00:05.000,0.000000,0.023122,0.061828,0.012088,0.003456,0.003024,0.002428,0.00,500,0,0,0,500
2016-03-22 15:00:10.000,0.000000,0.023122,0.061828,0.012088,0.003292,0.003164,0.002457,0.00,500,0,0,0,500
2016-03-22 15:00:15.000,0.000000,0.015415,0.058963,0.012088,0.002948,0.003001,0.002348,0.00,500,0,0,0,500
2016-03-22 15:00:20.000,0.000000,0.023122,0.058963,0.012088,0.003105,0.002901,0.002322,0.00,500,0,0,0,500
2016-03-22 15:00:25.000,0.000000,0.019268,0.058963,0.016117,0.002956,0.003009,0.002422,0.00,500,0,0,0,500
2016-03-22 15:00:30.000,0.000011,0.023122,0.058963,0.024175,0.003254,0.002862,0.002606,0.00,500,0,0,0,500
2016-03-22 15:00:35.000,0.002755,1.821783,0.749627,0.976029,0.086432,0.054390,0.050763,0.00,500,0,0,0,500
2016-03-22 15:00:40.000,0.000711,0.444126,0.555775,0.204473,0.019499,0.030656,0.009032,0.00,500,0,0,0,500
2016-03-22 15:00:45.000,0.000460,0.150290,0.270960,0.043312,0.006821,0.011866,0.004473,0.00,500,0,0,0,500
2016-03-22 15:00:50.000,0.000018,0.023122,0.055143,0.020146,0.003328,0.002965,0.002840,0.00,500,0,0,0,500
2016-03-22 15:00:55.000,0.000033,0.023122,0.055143,0.016117,0.003175,0.002924,0.002783,0.00,500,0,0,0,500
2016-03-22 15:01:00.000,0.000057,0.023122,0.058963,0.020146,0.003361,0.003181,0.002933,0.00,500,0,0,0,500
2016-03-22 15:01:05.000,0.000101,0.023122,0.055143,0.016117,0.003191,0.002997,0.003118,0.00,500,0,0,0,500
2016-03-22 15:01:10.000,0.000130,0.023122,0.055143,0.016117,0.003283,0.003050,0.003232,0.00,500,0,0,0,500
2016-03-22 15:01:15.000,0.000085,0.023122,0.055143,0.016117,0.003001,0.002960,0.003008,0.00,500,0,0,0,500
2016-03-22 15:01:20.000,0.000283,0.019268,0.055143,0.020146,0.002980,0.002921,0.003330,0.00,500,0,0,0,500
2016-03-22 15:01:25.000,0.000215,0.023122,0.055143,0.016117,0.003008,0.002769,0.003234,0.00,500,0,0,0,500
2016-03-22 15:01:30.000,0.000750,0.131986,0.110530,0.016117,0.013869,0.008928,0.003626,0.00,500,0,0,0,500
2016-03-22 15:01:35.000,0.000601,0.108864,0.084746,0.020146,0.006517,0.006422,0.003407,0.00,500,0,0,0,500
2016-03-22 15:01:40.000,0.000703,0.023122,0.055143,0.016117,0.003528,0.003199,0.003595,0.00,500,0,0,0,500
2016-03-22 15:01:45.000,0.001053,0.019268,0.055143,0.016117,0.002881,0.002754,0.003674,0.00,500,0,0,0,500
2016-03-22 15:01:50.000,0.001230,0.019268,0.051324,0.016117,0.002904,0.002891,0.003734,0.00,500,0,0,0,500
2016-03-22 15:01:55.000,0.001383,0.023122,0.055143,0.016117,0.003005,0.002781,0.003674,0.00,500,0,0,0,500
2016-03-22 15:02:00.000,0.000792,0.023122,0.055143,0.024175,0.002946,0.002848,0.003810,0.00,500,0,0,0,500
2016-03-22 15:02:05.000,0.001034,0.023122,0.055143,0.020146,0.002978,0.003089,0.003471,0.00,500,0,0,0,500
2016-03-22 15:02:10.000,0.001210,0.023122,0.058963,0.016117,0.002948,0.003034,0.003572,0.00,500,0,0,0,500
2016-03-22 15:02:15.000,0.002027,0.023122,0.055143,0.024175,0.003202,0.002644,0.003727,0.00,500,0,0,0,500
2016-03-22 15:02:20.000,0.001495,0.023122,0.051324,0.020146,0.003051,0.002530,0.003488,0.00,500,0,0,0,500
2016-03-22 15:02:25.000,0.001827,0.023122,0.055143,0.020146,0.003004,0.002983,0.003706,0.00,500,0,0,0,500
2016-03-22 15:02:30.000,0.001604,0.108864,0.200538,0.016117,0.007316,0.011664,0.003493,0.00,500,0,0,0,500
2016-03-22 15:02:35.000,0.002176,0.019268,0.051324,0.020146,0.002812,0.002669,0.003808,0.00,500,0,0,0,500
2016-03-22 15:02:40.000,0.002612,0.026012,0.058963,0.059428,0.003037,0.003036,0.004654,0.00,500,0,0,0,500
2016-03-22 15:02:45.000,0.002424,0.052024,0.073287,0.020146,0.004396,0.003689,0.003633,0.00,500,0,0,0,500
2016-03-22 15:02:50.000,0.002999,0.019268,0.058963,0.020146,0.003053,0.002902,0.003849,0.00,500,0,0,0,500
2016-03-22 15:02:55.000,0.002684,0.019268,0.051324,0.016117,0.002970,0.002740,0.003447,0.00,500,0,0,0,500
2016-03-22 15:03:00.000,0.003156,0.019268,0.055143,0.020146,0.002721,0.002888,0.003596,0.00,500,0,0,0,500
2016-03-22 15:03:05.000,0.003584,0.019268,0.051324,0.020146,0.002719,0.002772,0.003705,0.00,500,0,0,0,500
2016-03-22 15:03:10.000,0.002908,0.019268,0.055143,0.020146,0.002722,0.002960,0.003478,0.00,500,0,0,0,500
2016-03-22 15:03:15.000,0.004172,0.019268,0.051324,0.020146,0.003094,0.002556,0.003607,0.00,500,0,0,0,500
2016-03-22 15:03:20.000,0.004574,0.019268,0.051324,0.016117,0.002710,0.002742,0.003615,0.00,500,0,0,0,500
2016-03-22 15:03:25.000,0.004722,0.015415,0.055143,0.020146,0.002731,0.002847,0.003606,0.00,500,0,0,0,500
2016-03-22 15:03:30.000,0.005014,0.023122,0.055143,0.020146,0.002761,0.002828,0.003605,0.00,500,0,0,0,500
2016-03-22 15:03:35.000,0.006047,0.015415,0.051324,0.020146,0.002795,0.002590,0.003869,0.00,500,0,0,0,500
2016-03-22 15:03:40.000,0.004749,0.019268,0.051324,0.020146,0.002899,0.002546,0.003656,0.00,500,0,0,0,500
2016-03-22 15:03:45.000,0.004733,0.015415,0.051324,0.016117,0.002685,0.002827,0.003734,0.00,500,0,0,0,500
2016-03-22 15:03:50.000,0.005350,0.019268,0.051324,0.016117,0.002717,0.002686,0.003358,0.00,500,0,0,0,500
2016-03-22 15:03:55.000,0.005786,0.015415,0.051324,0.020146,0.002590,0.002640,0.003665,0.00,500,0,0,0,500
2016-03-22 15:04:00.000,0.005172,0.019268,0.055143,0.016117,0.002705,0.002739,0.003636,0.00,500,0,0,0,500
2016-03-22 15:04:05.000,0.005584,0.023122,0.055143,0.020146,0.002719,0.002640,0.003639,0.00,500,0,0,0,500
2016-03-22 15:04:10.000,0.006307,0.019268,0.051324,0.020146,0.002763,0.002673,0.003534,0.00,500,0,0,0,500
2016-03-22 15:04:15.000,0.007162,0.023122,0.051324,0.020146,0.002774,0.002593,0.003545,0.00,500,0,0,0,500
2016-03-22 15:04:20.000,0.006840,0.019268,0.051324,0.020146,0.002764,0.002659,0.003563,0.00,500,0,0,0,500
2016-03-22 15:04:25.000,0.006345,0.015415,0.051324,0.020146,0.002439,0.002660,0.003474,0.00,500,0,0,0,500
2016-03-22 15:04:30.000,0.006413,0.015415,0.051324,0.020146,0.002504,0.002549,0.003541,0.00,500,0,0,0,500
2016-03-22 15:04:35.000,0.006642,0.019268,0.051324,0.016117,0.002625,0.002673,0.003448,0.00,500,0,0,0,500
2016-03-22 15:04:40.000,0.007032,0.023122,0.051324,0.016117,0.002698,0.002717,0.003471,0.00,500,0,0,0,500
2016-03-22 15:04:45.000,0.006943,0.019268,0.055143,0.016117,0.002960,0.002971,0.003541,0.00,500,0,0,0,500
2016-03-22 15:04:50.000,0.007331,0.015415,0.055143,0.020146,0.002441,0.002849,0.003595,0.00,500,0,0,0,500
2016-03-22 15:04:55.000,0.007606,0.019268,0.055143,0.020146,0.002744,0.002714,0.003377,0.00,500,0,0,0,500
2016-03-22 15:05:00.000,0.008444,0.019268,0.051324,0.020146,0.002792,0.002687,0.003583,0.00,500,0,0,0,500
2016-03-22 15:05:05.000,0.007525,0.015415,0.051324,0.020146,0.002543,0.002812,0.003455,0.00,500,0,0,0,500
2016-03-22 15:05:10.000,0.005761,0.015415,0.051324,0.020146,0.002376,0.002570,0.003570,0.00,500,0,0,0,500
2016-03-22 15:05:15.000,0.006697,0.052024,0.073287,0.020146,0.004816,0.006159,0.003522,0.00,500,0,0,0,500
2016-03-22 15:05:20.000,0.007697,0.015415,0.051324,0.020146,0.002616,0.002526,0.003476,0.00,500,0,0,0,500
2016-03-22 15:05:25.000,0.008300,0.015415,0.051324,0.020146,0.002482,0.002539,0.003442,0.00,500,0,0,0,500
2016-03-22 15:05:30.000,0.008832,0.019268,0.051324,0.016117,0.002623,0.002717,0.003222,0.00,500,0,0,0,500
2016-03-22 15:05:35.000,0.008254,0.023122,0.051324,0.020146,0.002740,0.002506,0.003522,0.00,500,0,0,0,500
2016-03-22 15:05:40.000,0.008123,0.019268,0.051324,0.020146,0.002448,0.002604,0.003374,0.00,500,0,0,0,500
2016-03-22 15:05:45.000,0.035965,1.201356,0.921516,2.919020,0.106391,0.189068,0.959049,0.00,500,0,0,0,500
2016-03-22 15:05:50.000,0.043546,1.498082,1.525993,3.021760,0.263896,0.155463,0.961607,0.00,500,0,0,0,500
2016-03-22 15:05:55.000,0.009183,0.127169,0.246375,0.043312,0.010401,0.016746,0.004232,0.00,500,0,0,0,500
2016-03-22 15:06:00.000,0.008199,0.019268,0.055143,0.020146,0.003463,0.002958,0.003437,0.00,500,0,0,0,500
2016-03-22 15:06:05.000,0.018497,0.605977,0.720024,0.605360,0.069963,0.053701,0.050787,0.00,500,0,0,0,500
2016-03-22 15:06:10.000,0.012322,0.383432,0.454551,0.440170,0.039907,0.032455,0.034086,0.00,500,0,0,0,500
2016-03-22 15:06:15.000,0.038285,0.767828,1.469651,2.577561,0.128917,0.339614,0.705397,0.00,500,0,0,0,500
2016-03-22 15:06:20.000,0.043068,1.226404,1.270780,1.938963,0.195513,0.217053,0.384108,0.00,500,0,0,0,500
2016-03-22 15:06:25.000,0.031873,1.500972,1.032046,1.140211,0.371100,0.161623,0.252038,0.00,500,0,0,0,500
2016-03-22 15:06:30.000,0.042127,1.754346,2.077947,2.061848,0.333322,0.502383,0.511281,0.00,500,0,0,0,500
2016-03-22 15:06:35.000,0.067287,2.467059,2.316682,3.006913,0.475567,0.337452,0.709759,0.00,500,0,1,0,500
2016-03-22 15:06:40.000,0.063779,1.305403,1.872635,2.171638,0.208499,0.476351,0.256959,0.00,500,0,0,0,500
2016-03-22 15:06:45.000,0.033207,2.031804,1.313041,2.030623,0.586353,0.278917,0.288541,0.00,500,0,0,0,500
2016-03-22 15:06:50.000,0.049380,2.145485,1.372247,2.443597,0.566443,0.267197,0.483716,0.00,500,0,0,0,500
2016-03-22 15:06:55.000,0.015595,1.151259,0.924138,1.309430,0.251528,0.213355,0.152884,0.00,500,0,0,0,500
2016-03-22 15:07:00.000,0.041552,1.350682,0.994803,1.191581,0.306805,0.146889,0.187528,0.00,500,0,0,0,500
2016-03-22 15:07:05.000,0.079420,2.476893,1.581379,2.206892,0.307510,0.283176,0.321021,0.00,500,0,0,0,500
2016-03-22 15:07:10.000,0.059422,1.934501,1.600478,2.703468,0.464598,0.298871,0.456104,0.00,500,0,0,0,500
2016-03-22 15:07:15.000,0.060405,1.132497,2.029245,2.223008,0.228951,0.504461,0.502750,0.00,500,0,0,0,500
2016-03-22 15:07:20.000,0.059873,1.448949,2.103730,1.833201,0.315267,0.210784,0.257432,0.00,500,0,0,0,500
2016-03-22 15:07:25.000,0.039910,1.351188,1.291078,1.873491,0.179098,0.265052,0.299914,0.00,500,0,0,0,500
2016-03-22 15:07:30.000,0.018354,1.151765,1.016767,0.538881,0.085396,0.099719,0.085638,0.00,500,0,0,0,500
2016-03-22 15:07:35.000,0.086316,1.614196,1.850672,2.046739,0.251750,0.351393,0.439079,0.00,500,0,0,0,500
2016-03-22 15:07:40.000,0.064266,1.316964,1.714827,1.766723,0.312335,0.156491,0.315279,0.00,500,0,0,0,500
2016-03-22 15:07:45.000,0.043784,2.314079,3.002328,2.316683,0.140431,0.179309,0.160999,0.00,500,0,0,0,500
2016-03-22 15:07:50.000,0.010835,0.451833,1.203935,0.357575,0.065616,0.039443,0.055746,0.00,500,0,0,0,500
2016-03-22 15:07:55.000,0.034044,0.813107,1.333806,0.656730,0.136645,0.092427,0.096180,0.00,500,0,0,0,500
2016-03-22 15:08:00.000,0.069996,1.482668,1.542938,0.874296,0.223063,0.142247,0.176697,0.00,500,0,0,0,500
2016-03-22 15:08:05.000,0.017065,1.015420,1.241177,0.468373,0.141095,0.108485,0.097177,0.00,500,0,0,0,500
2016-03-22 15:08:10.000,0.018830,0.760120,1.043505,1.038479,0.254751,0.155020,0.278189,0.00,500,0,0,0,500
2016-03-22 15:08:15.000,0.015090,0.567441,1.374869,0.578164,0.089475,0.060201,0.070070,0.00,500,0,0,0,500
2016-03-22 15:08:20.000,0.132701,1.738931,1.964924,1.384974,0.281484,0.258057,0.213375,0.00,500,0,3,0,500
2016-03-22 15:08:25.000,0.156723,1.877660,1.962443,1.451452,0.301882,0.281960,0.220244,0.00,500,0,1,0,500
2016-03-22 15:08:30.000,0.109421,1.505789,1.976891,1.613620,0.221319,0.241317,0.198632,0.00,500,0,2,0,500
2016-03-22 15:08:35.000,0.032080,2.562635,3.824929,2.615837,0.122682,0.276302,0.163404,0.00,500,0,4,0,500
2016-03-22 15:08:40.000,0.007181,0.368981,1.110351,0.311242,0.055451,0.022050,0.061511,0.00,500,0,0,0,500
2016-03-22 15:08:45.000,0.168200,1.591532,1.984228,1.573330,0.268179,0.333197,0.224491,0.00,500,0,2,0,500
2016-03-22 15:08:50.000,0.040365,1.129101,1.409246,0.861202,0.158281,0.106600,0.113364,0.00,500,0,0,0,500
2016-03-22 15:08:55.000,0.126718,1.685945,1.958998,1.938963,0.233810,0.253075,0.213352,0.00,500,0,1,0,500
2016-03-22 15:09:00.000,0.040739,1.193649,1.483732,1.109993,0.137544,0.110012,0.117939,0.00,500,0,0,0,500
2016-03-22 15:09:05.000,0.027978,0.967251,1.446489,0.637592,0.120459,0.085009,0.102534,0.00,500,0,0,0,500
2016-03-22 15:09:10.000,0.012641,0.440273,1.098891,0.400887,0.057293,0.037026,0.069659,0.00,500,0,0,0,500
2016-03-22 15:09:15.000,0.003177,0.203277,0.994803,0.082595,0.027162,0.007788,0.016767,0.00,500,0,0,0,500
2016-03-22 15:09:20.000,0.002306,0.067438,0.975704,0.058421,0.008144,0.005382,0.010766,0.00,500,0,0,0,500
2016-03-22 15:09:25.000,0.005792,0.240850,1.450309,0.598309,0.013727,0.052086,0.031424,0.00,500,0,0,0,500
2016-03-22 15:09:30.000,0.003237,0.188826,0.998623,0.185335,0.030646,0.010128,0.032170,0.00,500,0,0,0,500
2016-03-22 15:09:35.000,0.003560,0.123315,1.006262,0.114827,0.021977,0.009172,0.019467,0.00,500,0,0,0,500
2016-03-22 15:09:40.000,0.002439,0.045280,0.990983,0.035254,0.010671,0.005387,0.007739,0.00,500,0,0,0,500
2016-03-22 15:09:45.000,0.001991,0.029866,0.994803,0.035254,0.005410,0.004424,0.008644,0.00,500,0,0,0,500
2016-03-22 15:09:50.000,0.001775,0.033719,0.994803,0.023167,0.006663,0.004342,0.003014,0.00,500,0,0,0,500
2016-03-22 15:09:55.000,0.003719,0.097304,1.028226,0.059428,0.015004,0.022654,0.006212,0.00,500,0,0,0,500
2016-03-22 15:10:00.000,0.012935,0.334299,1.136134,0.314263,0.058394,0.044034,0.062512,0.00,500,0,0,0,500
2016-03-22 15:10:05.000,0.003666,0.049134,0.935597,0.043312,0.006940,0.004767,0.009936,0.00,500,0,0,0,500
2016-03-22 15:10:10.000,0.002771,0.131022,0.942281,0.086624,0.019030,0.006894,0.024186,0.00,500,0,0,0,500
2016-03-22 15:10:15.000,0.003376,0.071292,0.938462,0.046334,0.008372,0.003958,0.010110,0.00,500,0,0,0,500
2016-03-22 15:10:20.000,0.013490,0.937385,1.196295,0.522765,0.086415,0.056595,0.054028,0.00,500,0,0,0,500
2016-03-22 15:10:25.000,0.011536,0.703280,1.196295,0.236705,0.061398,0.035454,0.047537,0.00,500,0,0,0,500
2016-03-22 15:10:30.000,0.005854,0.157998,1.092207,0.219582,0.019000,0.017409,0.028964,0.00,500,0,0,0,500
2016-03-22 15:10:35.000,0.004088,0.082853,1.002443,0.102480,0.011318,0.010400,0.006913,0.00,500,0,0,0,500
2016-03-22 15:10:40.000,0.005016,0.098267,1.013902,0.153849,0.019234,0.014167,0.027407,0.00,500,0,0,0,500
2016-03-22 15:10:45.000,0.003441,0.075145,0.998623,0.090393,0.012128,0.009585,0.008658,0.00,500,0,0,0,500
2016-03-22 15:10:50.000,0.002654,0.048170,0.987164,0.078305,0.009874,0.007409,0.006666,0.00,500,0,0,0,500
2016-03-22 15:10:55.000,0.018363,0.546246,1.282240,0.598309,0.081870,0.067339,0.092768,0.00,500,0,0,0,500
2016-03-22 15:11:00.000,0.002916,0.161851,0.987164,0.125907,0.020600,0.009193,0.027308,0.00,500,0,0,0,500
2016-03-22 15:11:05.000,0.004149,0.124279,0.990983,0.101733,0.022863,0.008690,0.024333,0.00,500,0,0,0,500
2016-03-22 15:11:10.000,0.003593,0.120425,0.983344,0.105762,0.020107,0.007005,0.017229,0.00,500,0,0,0,500
2016-03-22 15:11:15.000,0.003166,0.146437,0.998623,0.102740,0.020369,0.008245,0.017815,0.00,500,0,0,0,500
2016-03-22 15:11:20.000,0.012219,0.436419,1.102711,0.472402,0.056947,0.032812,0.078493,0.00,500,0,0,0,500
