Time,enmoTrunc,xMean,yMean,zMean,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2016-03-25 15:32:00.000,0.000000,0.014992,-0.176247,0.941101,0.019000,0.184000,0.015000,0.003278,0.002989,0.001817,0.00,1000,0,0,0,1000
2016-03-25 15:32:10.000,0.000000,0.014238,-0.175795,0.940980,0.027000,0.184000,0.015000,0.003555,0.003141,0.001943,0.00,1000,0,0,0,1000
2016-03-25 15:32:20.000,0.000000,0.014110,-0.175959,0.941307,0.019000,0.184000,0.019000,0.003161,0.003057,0.001904,0.00,1000,0,0,0,1000
2016-03-25 15:32:30.000,0.000000,0.013870,-0.175607,0.941489,0.019000,0.184000,0.015000,0.003165,0.003161,0.002052,0.00,1000,0,0,0,1000
2016-03-25 15:32:40.000,0.000000,0.013238,-0.175627,0.942185,0.023000,0.184000,0.011001,0.003297,0.003058,0.002156,0.00,1000,0,0,0,1000
2016-03-25 15:32:50.000,0.000000,0.013268,-0.175311,0.942209,0.023000,0.184000,0.023000,0.003453,0.003166,0.002509,0.00,1000,0,0,0,1000
2016-03-25 15:33:10.000,0.000000,0.014369,-0.172199,0.943614,0.019000,0.184000,0.015001,0.003302,0.003234,0.002519,0.00,1000,0,0,0,1000
2016-03-25 15:33:20.000,0.000000,0.014395,-0.172255,0.944048,0.023000,0.180000,0.015001,0.003300,0.003230,0.002715,0.00,1000,0,0,0,1000
2016-03-25 15:33:30.000,0.000000,0.014249,-0.172259,0.944018,0.027000,0.180000,0.015001,0.003450,0.003415,0.002558,0.00,1000,0,0,0,1000
2016-03-25 15:33:40.000,0.000000,0.013573,-0.172231,0.943762,0.027000,0.180000,0.015001,0.003424,0.003232,0.002672,0.00,1000,0,0,0,1000
2016-03-25 15:33:50.000,0.000000,0.014119,-0.172051,0.943029,0.023000,0.180000,0.015001,0.003345,0.003116,0.002402,0.00,1000,0,0,0,1000
2016-03-25 15:34:00.000,0.000000,0.013598,-0.171907,0.943191,0.023000,0.180000,0.015001,0.003229,0.003236,0.002488,0.00,1000,0,0,0,1000
2016-03-25 15:40:00.000,0.000000,0.180275,-0.989892,0.118220,0.031000,1.000000,0.028001,0.005885,0.003522,0.004716,0.00,1000,0,0,0,1000
2016-03-25 15:49:50.000,0.000000,-0.044626,-1.025496,-0.088346,0.074000,1.051000,0.121000,0.008034,0.006044,0.009766,0.00,1000,0,0,0,1000
2016-03-25 15:51:40.000,0.000000,0.136186,-0.997943,0.103782,0.027000,1.012000,0.023001,0.004277,0.003342,0.003748,0.00,1000,0,0,0,1000
2016-03-25 15:53:10.000,0.000000,0.109752,-0.996412,0.138038,0.055001,1.016000,0.043001,0.009119,0.004599,0.007963,0.00,1000,0,0,0,1000
2016-03-25 15:55:50.000,0.000000,0.110640,-0.996316,0.134202,0.145001,1.051000,0.109000,0.008275,0.004033,0.007814,0.00,1000,0,0,0,1000
2016-03-25 16:00:10.000,0.000000,0.152836,-0.993548,0.120768,0.071000,1.023000,0.074001,0.010306,0.007330,0.010210,0.00,1000,0,0,0,1000
2016-03-25 16:02:30.000,0.000000,0.064594,-1.016438,0.047385,0.113000,1.039000,0.074000,0.010038,0.006796,0.010050,0.00,1000,0,0,0,1000
2016-03-25 16:02:50.000,0.000000,0.196588,-0.974770,0.173255,0.054001,0.988000,0.046001,0.010974,0.004183,0.010868,0.00,1000,0,0,0,1000
2016-03-25 16:04:00.000,0.000000,0.152758,-1.006091,-0.010513,0.055000,1.023000,0.051001,0.006790,0.004191,0.006883,0.00,1000,0,0,0,1000
2016-03-25 16:04:20.000,0.000000,0.088702,-1.014595,0.029811,0.058000,1.043000,0.047000,0.010124,0.005976,0.007366,0.00,1000,0,0,0,1000
2016-03-25 16:04:30.000,0.000000,0.077071,-1.015325,0.033916,0.066000,1.039000,0.059000,0.008067,0.005585,0.007238,0.00,1000,0,0,0,1000
2016-03-25 16:04:40.000,0.000000,0.080047,-1.014962,0.037533,0.050000,1.035000,0.047000,0.005924,0.005257,0.006594,0.00,1000,0,0,0,1000
