Time,enmoTrunc,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2016-03-25 15:29:50.000,0.018032,1.255981,1.254540,1.424509,0.244275,0.248306,0.183960,0.00,500,0,0,0,500
2016-03-25 15:29:55.000,0.000000,0.023259,0.079029,0.018539,0.003849,0.003816,0.003274,0.00,500,0,0,0,500
2016-03-25 15:30:00.000,0.036891,2.148921,1.370408,1.973822,0.520121,0.293047,0.673823,0.00,500,0,0,0,500
2016-03-25 15:30:05.000,0.085926,1.260389,1.472583,1.006913,0.088274,0.253370,0.159652,0.00,500,0,0,0,500
2016-03-25 15:30:10.000,0.046525,1.817229,1.180805,1.589400,0.418380,0.288312,0.377201,0.00,500,0,0,0,500
2016-03-25 15:30:15.000,0.004753,1.758576,0.707851,1.715264,0.128718,0.044449,0.124219,0.00,500,0,0,0,500
2016-03-25 15:30:20.000,0.034226,1.473401,2.317370,2.389467,0.309077,0.432476,0.802432,0.00,500,0,0,0,500
2016-03-25 15:30:25.000,0.064467,2.329936,1.115498,1.208881,0.449589,0.187891,0.246717,0.00,500,0,0,0,500
2016-03-25 15:30:30.000,0.035792,2.318812,1.609519,2.363123,0.469711,0.437462,0.530288,0.00,500,0,0,0,500
2016-03-25 15:30:35.000,0.053589,1.481491,3.041021,2.618754,0.328265,0.502097,0.511137,0.00,500,0,0,0,500
2016-03-25 15:30:40.000,0.095170,1.239801,1.264047,1.375724,0.276887,0.217132,0.322939,0.00,500,0,0,0,500
2016-03-25 15:30:45.000,0.048722,1.334859,1.221886,1.797683,0.174788,0.286420,0.203585,0.00,500,0,0,0,500
2016-03-25 15:30:50.000,0.020495,1.217553,1.403062,1.645990,0.128838,0.190587,0.145493,0.00,500,0,0,0,500
2016-03-25 15:30:55.000,0.000000,0.023622,0.083242,0.011709,0.002870,0.003146,0.002136,0.00,500,0,0,0,500
2016-03-25 15:31:00.000,0.000004,0.023622,0.087455,0.011709,0.002546,0.003206,0.002080,0.00,500,0,0,0,500
