Time,enmoTrunc,xMean,yMean,zMean,xRange,yRange,zRange,xStd,yStd,zStd,temp,samples,dataErrors,clipsBeforeCalibr,clipsAfterCalibr,rawSamples
2016-03-25 15:31:00.000,0.000000,0.011208,-0.020138,0.999412,0.024000,0.031000,0.016001,0.002722,0.002946,0.002077,0.00,1000,0,0,0,1000
2016-03-25 15:31:20.000,0.000000,0.010647,-0.019160,1.000397,0.027000,0.027000,0.016001,0.002967,0.003062,0.001873,0.00,1000,0,0,0,1000
2016-03-25 15:31:30.000,0.000000,0.010696,-0.018876,1.000913,0.020000,0.027000,0.012001,0.002523,0.002859,0.002102,0.00,1000,0,0,0,1000
2016-03-25 15:31:40.000,0.000000,0.010608,-0.018710,1.001429,0.016000,0.027000,0.012001,0.002680,0.003036,0.002304,0.00,1000,0,0,0,1000
2016-03-25 15:31:50.000,0.000000,0.010667,-0.018840,1.001813,0.031000,0.027000,0.012001,0.002766,0.003096,0.002353,0.00,1000,0,0,0,1000
2016-03-25 15:32:00.000,0.000000,0.009880,-0.017765,1.002401,0.020000,0.027000,0.012001,0.002804,0.002930,0.002555,0.00,1000,0,0,0,1000
2016-03-25 15:32:10.000,0.000000,0.009660,-0.018220,1.003053,0.024000,0.027000,0.016001,0.003017,0.003129,0.002632,0.00,1000,0,0,0,1000
2016-03-25 15:32:20.000,0.000000,0.009788,-0.017858,1.002733,0.024000,0.027000,0.016001,0.002894,0.003065,0.002703,0.00,1000,0,0,0,1000
2016-03-25 15:32:30.000,0.000000,0.009572,-0.017758,1.003625,0.020000,0.027000,0.012001,0.002881,0.002899,0.002798,0.00,1000,0,0,0,1000
2016-03-25 15:32:40.000,0.000000,0.009624,-0.017995,1.003993,0.020000,0.027000,0.012001,0.002787,0.002979,0.002737,0.00,1000,0,0,0,1000
2016-03-25 15:33:10.000,0.000000,0.010784,-0.016634,1.005177,0.020000,0.023000,0.020001,0.002585,0.003221,0.002939,0.00,1000,0,0,0,1000
2016-03-25 15:33:20.000,0.000000,0.010668,-0.017045,1.004365,0.024000,0.027000,0.012001,0.002648,0.003154,0.002980,0.00,1000,0,0,0,1000
2016-03-25 15:33:30.000,0.000000,0.010572,-0.016993,1.003585,0.024000,0.027000,0.020001,0.002646,0.003168,0.002827,0.00,1000,0,0,0,1000
2016-03-25 15:40:00.000,0.000000,0.809389,-0.005019,0.599026,0.047000,0.047000,0.055001,0.007584,0.008185,0.010099,0.00,1000,0,0,0,1000
2016-03-25 15:51:40.000,0.000000,0.705324,0.542132,0.503487,0.043000,0.043000,0.047001,0.007570,0.008358,0.007757,0.00,1000,0,0,0,1000
2016-03-25 15:55:50.000,0.000000,0.756429,0.671113,-0.177805,0.047001,0.054000,0.195000,0.007725,0.008816,0.007336,0.00,1000,0,0,0,1000
2016-03-25 16:02:50.000,0.000000,0.444439,0.774779,0.489355,0.047000,0.059001,0.055000,0.008166,0.010157,0.010346,0.00,1000,0,0,0,1000
2016-03-25 16:04:40.000,0.000000,0.141818,0.852578,0.513896,0.047001,0.039001,0.043001,0.007216,0.005121,0.006777,0.00,1000,0,0,0,1000
2016-03-25 16:06:20.000,0.000000,0.001772,-0.010621,1.012447,0.043000,0.043000,0.019000,0.004431,0.004404,0.003145,0.00,1000,0,0,0,1000
2016-03-25 16:06:30.000,0.000000,0.001665,-0.010792,1.011771,0.179000,0.051001,0.019000,0.006389,0.004136,0.002962,0.00,1000,0,0,0,1000
